date,HG=F
2015-03-23,2.808
2015-03-24,2.815
2015-03-25,2.805
2015-03-26,2.8215
2015-03-27,2.775
2015-03-30,2.7875
2015-03-31,2.747
2015-04-01,2.7565
2015-04-02,2.748
2015-04-06,2.732
2015-04-07,2.777
2015-04-08,2.7485
2015-04-09,2.745
2015-04-10,2.7505
2015-04-13,2.737
2015-04-14,2.7195
2015-04-15,2.7295
2015-04-16,2.7855
2015-04-17,2.7835
2015-04-20,2.7355
2015-04-21,2.705
2015-04-22,2.6695
2015-04-23,2.698
2015-04-24,2.752
2015-04-27,2.774
2015-04-28,2.78
2015-04-29,2.795
2015-04-30,2.8865
2015-05-01,2.9315
2015-05-04,2.924
2015-05-05,2.94
2015-05-06,2.9325
2015-05-07,2.926
2015-05-08,2.931
2015-05-11,2.9175
2015-05-12,2.9505
2015-05-13,2.95
2015-05-14,2.946
2015-05-15,2.949
2015-05-18,2.93
2015-05-19,2.8615
2015-05-20,2.8515
2015-05-21,2.871
2015-05-22,2.8335
2015-05-26,2.8535
2015-05-27,2.816
2015-05-28,2.793
2015-05-29,2.7595
2015-06-01,2.741
2015-06-02,2.758
2015-06-03,2.7505
2015-06-04,2.7155
2015-06-05,2.722
2015-06-08,2.716
2015-06-09,2.7405
2015-06-10,2.7715
2015-06-11,2.693
2015-06-12,2.6995
2015-06-15,2.659
2015-06-16,2.6265
2015-06-17,2.623
2015-06-18,2.6285
2015-06-19,2.592
2015-06-22,2.588
2015-06-23,2.634
2015-06-24,2.6465
2015-06-25,2.6455
2015-06-26,2.645
2015-06-29,2.6385
2015-06-30,2.6235
2015-07-01,2.6355
2015-07-02,2.6345
2015-07-06,2.543
2015-07-07,2.451
2015-07-08,2.504
2015-07-09,2.558
2015-07-10,2.5455
2015-07-13,2.5555
2015-07-14,2.5445
2015-07-15,2.5305
2015-07-16,2.5315
2015-07-17,2.5045
2015-07-20,2.484
2015-07-21,2.4775
2015-07-22,2.4315
2015-07-23,2.3855
2015-07-24,2.3815
2015-07-27,2.3505
2015-07-28,2.403
2015-07-29,2.408
2015-07-30,2.3815
2015-07-31,2.3675
2015-08-03,2.3475
2015-08-04,2.365
2015-08-05,2.353
2015-08-06,2.348
2015-08-07,2.3415
2015-08-10,2.4075
2015-08-11,2.341
2015-08-12,2.3605
2015-08-13,2.3655
2015-08-14,2.364
2015-08-17,2.3325
2015-08-18,2.297
2015-08-19,2.283
2015-08-20,2.323
2015-08-21,2.307
2015-08-24,2.269
2015-08-25,2.323
2015-08-26,2.251
2015-08-27,2.334
2015-08-28,2.3465
2015-08-31,2.338
2015-09-01,2.3025
2015-09-02,2.333
2015-09-03,2.39
2015-09-04,2.3195
2015-09-08,2.4385
2015-09-09,2.4425
2015-09-10,2.4545
2015-09-11,2.462
2015-09-14,2.414
2015-09-15,2.436
2015-09-16,2.4615
2015-09-17,2.4615
2015-09-18,2.397
2015-09-21,2.3985
2015-09-22,2.307
2015-09-23,2.3055
2015-09-24,2.312
2015-09-25,2.2915
2015-09-28,2.256
2015-09-29,2.2535
2015-09-30,2.3455
2015-10-01,2.3075
2015-10-02,2.3295
2015-10-05,2.36
2015-10-06,2.359
2015-10-07,2.3715
2015-10-08,2.347
2015-10-09,2.417
2015-10-12,2.4195
2015-10-13,2.3915
2015-10-14,2.42
2015-10-15,2.426
2015-10-16,2.407
2015-10-19,2.3715
2015-10-20,2.3695
2015-10-21,2.364
2015-10-22,2.3845
2015-10-23,2.35
2015-10-26,2.3565
2015-10-27,2.358
2015-10-28,2.3545
2015-10-29,2.3155
2015-10-30,2.3135
2015-11-02,2.3155
2015-11-03,2.327
2015-11-04,2.3195
2015-11-05,2.2535
2015-11-06,2.2415
2015-11-09,2.23
2015-11-10,2.2165
2015-11-11,2.2165
2015-11-12,2.173
2015-11-13,2.17
2015-11-16,2.118
2015-11-17,2.1055
2015-11-18,2.078
2015-11-19,2.0765
2015-11-20,2.054
2015-11-23,2.0195
2015-11-24,2.0535
2015-11-25,2.0445
2015-11-27,2.0505
2015-11-30,2.0445
2015-12-01,2.0665
2015-12-02,2.029
2015-12-03,2.056
2015-12-04,2.074
2015-12-07,2.0445
2015-12-08,2.048
2015-12-09,2.06
2015-12-10,2.065
2015-12-11,2.108
2015-12-14,2.104
2015-12-15,2.051
2015-12-16,2.061
2015-12-17,2.0345
2015-12-18,2.103
2015-12-21,2.129
2015-12-22,2.097
2015-12-23,2.1115
2015-12-24,2.1115
2015-12-28,2.0665
2015-12-29,2.125
2015-12-30,2.137
2015-12-31,2.1255
2016-01-04,2.0705
2016-01-05,2.0885
2016-01-06,2.0805
2016-01-07,2.0155
2016-01-08,2.0165
2016-01-11,1.9675
2016-01-12,1.953
2016-01-13,1.9505
2016-01-14,1.971
2016-01-15,1.9395
2016-01-19,1.9735
2016-01-20,1.956
2016-01-21,1.993
2016-01-22,1.9985
2016-01-25,1.9955
2016-01-26,2.034
2016-01-27,2.063
2016-01-28,2.049
2016-01-29,2.064
2016-02-01,2.0515
2016-02-02,2.052
2016-02-03,2.092
2016-02-04,2.128
