date,CL=F
2017-07-11,45.04
2017-07-12,45.49
2017-07-13,46.08
2017-07-14,46.54
2017-07-17,46.02
2017-07-18,46.4
2017-07-19,47.12
2017-07-20,46.79
2017-07-21,45.77
2017-07-24,46.34
2017-07-25,47.89
2017-07-26,48.75
2017-07-27,49.04
2017-07-28,49.71
2017-07-31,50.17
2017-08-01,49.16
2017-08-02,49.59
2017-08-03,49.03
2017-08-04,49.58
2017-08-07,49.39
2017-08-08,49.17
2017-08-09,49.56
2017-08-10,48.59
2017-08-11,48.82
2017-08-14,47.59
2017-08-15,47.55
2017-08-16,46.78
2017-08-17,47.09
2017-08-18,48.51
2017-08-21,47.37
2017-08-22,47.64
2017-08-23,48.41
2017-08-24,47.43
2017-08-25,47.87
2017-08-28,46.57
2017-08-29,46.44
2017-08-30,45.96
2017-08-31,47.23
2017-09-01,47.29
2017-09-05,48.66
2017-09-06,49.16
2017-09-07,49.09
2017-09-08,47.48
2017-09-11,48.07
2017-09-12,48.23
2017-09-13,49.3
2017-09-14,49.89
2017-09-15,49.89
2017-09-18,49.91
2017-09-19,49.48
2017-09-20,50.41
2017-09-21,50.55
2017-09-22,50.66
2017-09-25,52.22
2017-09-26,51.88
2017-09-27,52.14
2017-09-28,51.56
2017-09-29,51.67
2017-10-02,50.58
2017-10-03,50.42
2017-10-04,49.98
2017-10-05,50.79
2017-10-06,49.29
2017-10-09,49.58
2017-10-10,50.92
2017-10-11,51.3
2017-10-12,50.6
2017-10-13,51.45
2017-10-16,51.87
2017-10-17,51.88
2017-10-18,52.04
2017-10-19,51.29
2017-10-20,51.47
2017-10-23,51.9
2017-10-24,52.47
2017-10-25,52.18
2017-10-26,52.64
2017-10-27,53.9
2017-10-30,54.15
2017-10-31,54.38
2017-11-01,54.3
2017-11-02,54.54
2017-11-03,55.64
2017-11-06,57.35
2017-11-07,57.2
2017-11-08,56.81
2017-11-09,57.17
2017-11-10,56.74
2017-11-13,56.76
2017-11-14,55.7
2017-11-15,55.33
2017-11-16,55.14
2017-11-17,56.55
2017-11-20,56.09
2017-11-21,56.83
2017-11-22,58.02
2017-11-24,58.95
2017-11-27,58.11
2017-11-28,57.99
2017-11-29,57.3
2017-11-30,57.4
2017-12-01,58.36
2017-12-04,57.47
2017-12-05,57.62
2017-12-06,55.96
2017-12-07,56.69
2017-12-08,57.36
2017-12-11,57.99
2017-12-12,57.14
2017-12-13,56.6
2017-12-14,57.04
2017-12-15,57.3
2017-12-18,57.16
2017-12-19,57.46
2017-12-20,58.09
2017-12-21,58.36
2017-12-22,58.47
2017-12-26,59.97
2017-12-27,59.64
2017-12-28,59.84
2017-12-29,60.42
2018-01-02,60.37
2018-01-03,61.63
2018-01-04,62.01
2018-01-05,61.44
2018-01-08,61.73
2018-01-09,62.96
2018-01-10,63.57
2018-01-11,63.8
2018-01-12,64.3
2018-01-16,63.73
2018-01-17,63.97
2018-01-18,63.95
2018-01-19,63.37
2018-01-22,63.49
2018-01-23,64.47
2018-01-24,65.61
2018-01-25,65.51
2018-01-26,66.14
2018-01-29,65.56
2018-01-30,64.5
2018-01-31,64.73
2018-02-01,65.8
2018-02-02,65.45
2018-02-05,64.15
2018-02-06,63.39
2018-02-07,61.79
2018-02-08,61.15
2018-02-09,59.2
2018-02-12,59.29
2018-02-13,59.19
2018-02-14,60.6
2018-02-15,61.34
2018-02-16,61.68
2018-02-20,61.9
2018-02-21,61.68
2018-02-22,62.77
2018-02-23,63.55
2018-02-26,63.91
2018-02-27,63.01
2018-02-28,61.64
2018-03-01,60.99
2018-03-02,61.25
2018-03-05,62.57
2018-03-06,62.6
2018-03-07,61.15
2018-03-08,60.12
2018-03-09,62.04
2018-03-12,61.36
2018-03-13,60.71
2018-03-14,60.96
2018-03-15,61.19
2018-03-16,62.34
2018-03-19,62.06
2018-03-20,63.4
2018-03-21,65.17
2018-03-22,64.3
2018-03-23,65.88
2018-03-26,65.55
2018-03-27,65.25
2018-03-28,64.38
2018-03-29,64.94
2018-04-02,63.01
2018-04-03,63.51
2018-04-04,63.37
2018-04-05,63.54
2018-04-06,62.06
2018-04-09,63.42
2018-04-10,65.51
2018-04-11,66.82
2018-04-12,67.07
2018-04-13,67.39
2018-04-16,66.22
2018-04-17,66.52
2018-04-18,68.47
2018-04-19,68.29
2018-04-20,68.38
2018-04-23,68.64
2018-04-24,67.7
2018-04-25,68.05
2018-04-26,68.19
2018-04-27,68.1
2018-04-30,68.57
2018-05-01,67.25
2018-05-02,67.93
2018-05-03,68.43
2018-05-04,69.72
2018-05-07,70.73
2018-05-08,69.06
2018-05-09,71.14
2018-05-10,71.36
2018-05-11,70.7
2018-05-14,70.96
2018-05-15,71.31
2018-05-16,71.49
2018-05-17,71.49
2018-05-18,71.28
2018-05-21,72.24
2018-05-22,72.13
2018-05-23,71.84
2018-05-24,70.71
2018-05-25,67.88
2018-05-29,66.73
2018-05-30,68.21
2018-05-31,67.04
2018-06-01,65.81
2018-06-04,64.75
2018-06-05,65.52
2018-06-06,64.73
2018-06-07,65.95
2018-06-08,65.74
2018-06-11,66.1
2018-06-12,66.36
2018-06-13,66.64
2018-06-14,66.89
2018-06-15,65.06
2018-06-18,65.85
2018-06-19,65.07
2018-06-20,66.22
2018-06-21,65.54
2018-06-22,68.58
2018-06-25,68.08
2018-06-26,70.53
2018-06-27,72.76
2018-06-28,73.45
2018-06-29,74.15
2018-07-02,73.94
2018-07-03,74.14
2018-07-05,72.94
2018-07-06,73.8
2018-07-09,73.85
2018-07-10,74.11
2018-07-11,70.38
2018-07-12,70.33
2018-07-13,71.01
2018-07-16,68.06
2018-07-17,68.08
2018-07-18,68.76
2018-07-19,69.46
2018-07-20,70.46
2018-07-23,67.89
2018-07-24,68.52
2018-07-25,69.3
2018-07-26,69.61
2018-07-27,68.69
2018-07-30,70.13
2018-07-31,68.76
2018-08-01,67.66
2018-08-02,68.96
2018-08-03,68.49
2018-08-06,69.01
2018-08-07,69.17
2018-08-08,66.94
2018-08-09,66.81
2018-08-10,67.63
2018-08-13,67.2
2018-08-14,67.04
