date,DX=F
2017-07-24,93.8
2017-07-25,93.89
2017-07-26,93.5
2017-07-27,93.71
2017-07-28,93.11
2017-07-31,92.72
2017-08-01,92.9
2017-08-02,92.7
2017-08-03,92.71
2017-08-04,93.42
2017-08-07,93.31
2017-08-08,93.51
2017-08-09,93.43
2017-08-10,93.3
2017-08-11,92.96
2017-08-14,93.31
2017-08-15,93.76
2017-08-16,93.44
2017-08-17,93.53
2017-08-18,93.36
2017-08-21,93.01
2017-08-22,93.46
2017-08-23,93.07
2017-08-24,93.2
2017-08-25,92.68
2017-08-28,92.14
2017-08-29,92.18
2017-08-30,92.82
2017-08-31,92.63
2017-09-01,92.77
2017-09-05,92.23
2017-09-06,92.25
2017-09-07,91.64
2017-09-08,91.33
2017-09-11,91.85
2017-09-12,91.86
2017-09-13,92.51
2017-09-14,92.11
2017-09-15,91.86
2017-09-18,91.85
2017-09-19,91.56
2017-09-20,92.3
2017-09-21,92.05
2017-09-22,91.97
2017-09-25,92.44
2017-09-26,92.78
2017-09-27,93.17
2017-09-28,92.93
2017-09-29,92.88
2017-10-02,93.4
2017-10-03,93.41
2017-10-04,93.28
2017-10-05,93.8
2017-10-06,93.64
2017-10-09,93.5
2017-10-10,93.1
2017-10-11,92.82
2017-10-12,92.9
2017-10-13,92.93
2017-10-16,93.16
2017-10-17,93.35
2017-10-18,93.23
2017-10-19,93.12
2017-10-20,93.58
2017-10-23,93.81
2017-10-24,93.66
2017-10-25,93.58
2017-10-26,94.51
2017-10-27,94.82
2017-10-30,94.45
2017-10-31,94.43
2017-11-01,94.71
2017-11-02,94.59
2017-11-03,94.86
2017-11-06,94.66
2017-11-07,94.8
2017-11-08,94.77
2017-11-09,94.35
2017-11-10,94.28
2017-11-13,94.39
2017-11-14,93.72
2017-11-15,93.73
2017-11-16,93.85
2017-11-17,93.57
2017-11-20,94.0
2017-11-21,93.88
2017-11-22,93.14
2017-11-24,92.71
2017-11-27,92.82
2017-11-28,93.21
2017-11-29,93.11
2017-11-30,93.0
2017-12-01,92.84
2017-12-04,93.14
2017-12-05,93.33
2017-12-06,93.58
2017-12-07,93.77
