date,^TNX
2011-09-28,2.002
2011-09-29,1.957
2011-09-30,1.924
2011-10-03,1.785
2011-10-04,1.781
2011-10-05,1.905
2011-10-06,1.986
2011-10-07,2.068
2011-10-10,2.076
2011-10-11,2.16
2011-10-12,2.226
2011-10-13,2.169
2011-10-14,2.232
2011-10-17,2.155
2011-10-18,2.151
2011-10-19,2.159
2011-10-20,2.18
2011-10-21,2.203
2011-10-24,2.234
2011-10-25,2.128
2011-10-26,2.203
2011-10-27,2.395
2011-10-28,2.306
2011-10-31,2.175
2011-11-01,2.001
2011-11-02,2.006
2011-11-03,2.066
2011-11-04,2.05
2011-11-07,1.994
2011-11-08,2.065
2011-11-09,1.955
2011-11-10,2.056
2011-11-11,2.056
2011-11-14,2.043
2011-11-15,2.057
2011-11-16,2.024
2011-11-17,1.958
2011-11-18,2.012
2011-11-21,1.962
2011-11-22,1.939
2011-11-23,1.879
2011-11-25,1.967
2011-11-28,1.958
2011-11-29,1.996
2011-11-30,2.068
2011-12-01,2.117
2011-12-02,2.042
2011-12-05,2.054
2011-12-06,2.093
2011-12-07,2.017
2011-12-08,1.972
2011-12-09,2.052
2011-12-12,2.009
2011-12-13,1.962
2011-12-14,1.901
2011-12-15,1.913
2011-12-16,1.854
2011-12-19,1.813
2011-12-20,1.925
2011-12-21,1.967
2011-12-22,1.951
2011-12-23,2.03
2011-12-27,2.009
2011-12-28,1.908
2011-12-29,1.897
2011-12-30,1.871
2012-01-03,1.96
2012-01-04,1.995
2012-01-05,1.993
2012-01-06,1.961
2012-01-09,1.96
2012-01-10,1.972
2012-01-11,1.904
2012-01-12,1.933
2012-01-13,1.853
2012-01-17,1.85
2012-01-18,1.897
2012-01-19,1.972
2012-01-20,2.028
2012-01-23,2.067
2012-01-24,2.064
2012-01-25,2.007
2012-01-26,1.931
2012-01-27,1.898
2012-01-30,1.837
2012-01-31,1.799
2012-02-01,1.846
2012-02-02,1.825
2012-02-03,1.949
2012-02-06,1.901
2012-02-07,1.966
2012-02-08,1.975
2012-02-09,2.047
2012-02-10,1.969
2012-02-13,1.99
2012-02-14,1.924
2012-02-15,1.931
2012-02-16,1.993
2012-02-17,2.01
2012-02-21,2.045
2012-02-22,2.005
2012-02-23,1.984
2012-02-24,1.977
2012-02-27,1.922
2012-02-28,1.929
2012-02-29,1.977
2012-03-01,2.037
2012-03-02,1.986
2012-03-05,2.005
2012-03-06,1.944
2012-03-07,1.972
2012-03-08,2.014
2012-03-09,2.038
2012-03-12,2.031
2012-03-13,2.107
2012-03-14,2.274
2012-03-15,2.281
2012-03-16,2.298
2012-03-19,2.379
2012-03-20,2.372
2012-03-21,2.294
2012-03-22,2.275
2012-03-23,2.237
2012-03-26,2.244
2012-03-27,2.187
2012-03-28,2.196
2012-03-29,2.159
2012-03-30,2.216
2012-04-02,2.193
2012-04-03,2.284
2012-04-04,2.243
2012-04-05,2.175
2012-04-09,2.037
2012-04-10,1.988
2012-04-11,2.028
2012-04-12,2.049
2012-04-13,1.998
2012-04-16,1.974
2012-04-17,2.009
2012-04-18,1.982
2012-04-19,1.952
2012-04-20,1.97
2012-04-23,1.933
2012-04-24,1.961
2012-04-25,1.984
2012-04-26,1.959
2012-04-27,1.933
2012-04-30,1.915
2012-05-01,1.956
2012-05-02,1.922
2012-05-03,1.924
2012-05-04,1.88
2012-05-07,1.877
2012-05-08,1.837
