ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACIW,CRM,2018-01-19,0.765,0.333,2.77,2.547,25.256,3.319,3.715,0.51,2.551,-0.04,-0.017,0.057,-0.005,0.014,0.006,-0.004,-0.052,-0.034,0.019,-0.012,2.975,-0.022,3.153,-0.045,3.537,2013-02-04,software_and_services
ACIW,CTSH,2018-01-19,0.98,1.0,2.669,2.113,14.171,3.319,3.715,0.277,0.608,0.024,0.017,-0.014,0.003,-0.0,0.03,-0.021,-0.003,0.004,0.029,-0.03,3.61,-0.009,2.931,-0.014,3.112,2013-02-04,software_and_services
ACIW,MA,2018-01-19,0.627,0.0,2.91,3.995,18.382,3.319,3.715,0.528,0.112,0.017,-0.007,0.066,-0.102,0.049,-0.004,-0.02,-0.011,-0.008,0.061,-0.03,3.341,-0.017,3.149,-0.02,3.198,2013-02-04,software_and_services
ACIW,V,2018-01-19,0.51,0.0,2.685,2.103,35.146,3.319,3.715,0.656,0.173,0.038,-0.008,-0.037,-0.029,-0.004,0.052,0.023,0.033,-0.004,-0.017,0.005,2.625,0.025,2.362,0.006,2.606,2013-02-04,software_and_services
ADBE,DSGX,2018-01-19,0.961,0.833,-2.713,0.129,6.645,3.319,3.715,0.143,-0.477,0.04,-0.006,0.009,-0.027,-0.049,0.014,0.036,0.031,0.064,0.044,-0.062,-5.883,-0.059,-5.724,-0.055,-5.482,2013-02-04,software_and_services
AKAM,FLT,2018-01-19,0.627,0.0,3.677,0.373,130.742,3.319,3.715,0.539,2.325,0.005,-0.027,0.004,-0.018,-0.008,-0.059,0.014,0.108,-0.074,-0.047,0.033,3.131,0.004,3.612,-0.001,3.69,2013-02-04,software_and_services
ANSS,BLKB,2018-01-19,0.529,0.0,-2.758,0.704,-4.587,3.319,3.715,0.135,-0.813,0.015,0.035,-0.007,0.019,-0.039,0.031,0.017,0.024,-0.005,0.008,-0.001,-2.785,0.046,-0.926,0.051,-0.726,2013-02-04,software_and_services
APPS,BB,2018-01-19,0.588,0.0,3.127,0.68,7.409,3.319,3.715,0.984,2.387,-0.073,-0.024,0.004,-0.086,0.01,0.011,0.05,-0.007,-0.023,0.004,0.093,2.164,0.024,2.884,0.163,1.443,2013-02-04,software_and_services
BLKB,CRM,2018-01-19,0.804,0.833,3.135,0.727,30.846,3.319,3.715,0.426,0.584,0.029,-0.002,0.075,0.017,0.025,-0.038,-0.023,-0.018,-0.007,0.011,0.004,2.961,-0.002,3.205,-0.011,3.638,2013-02-04,software_and_services
BLKB,V,2018-01-19,0.706,0.667,3.754,0.919,18.421,3.319,3.715,0.651,0.492,0.075,0.052,-0.034,0.055,-0.058,-0.027,0.02,0.014,0.048,0.044,0.021,2.55,0.055,0.652,0.047,1.118,2013-02-04,software_and_services
CTSH,SSNC,2018-01-19,0.608,0.167,3.16,0.533,1.161,3.319,3.715,0.378,1.007,0.021,-0.004,0.043,0.006,0.015,0.061,-0.026,-0.061,-0.017,0.032,0.019,2.496,0.001,3.142,0.022,2.407,2013-02-04,software_and_services
DSGX,V,2018-01-19,0.922,0.833,3.87,3.186,13.671,3.319,3.715,0.399,0.667,-0.023,-0.006,-0.008,0.016,-0.008,0.007,0.025,-0.026,0.056,0.055,-0.035,6.069,0.009,3.319,0.005,3.559,2013-02-04,software_and_services
ENV,FLT,2018-01-19,0.529,0.333,3.334,0.92,117.429,3.319,3.715,0.469,1.073,-0.009,0.01,0.016,-0.015,0.002,0.011,-0.005,-0.039,-0.035,0.072,0.036,2.558,0.013,3.063,-0.006,3.454,2013-02-04,software_and_services
