ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ALGN,MODV,2020-10-19,0.784,4.203,0.094,42.181,3.74,0.9713434,3.0280805,-0.10529399287119208,-0.08955570058074389,-0.022858131328733218,0.010422616397536619,-0.017983471355129718,0.25892420982878356,0.03180538973238778,-0.03589413732778101,0.052104962627361404,0.01097918222298988,-0.059,5.168,-0.062,5.214,-0.279,8.785,2015-11-02,health_care_equipment_and_services
ALGN,QDEL,2020-10-19,0.588,2.769,0.191,35.233,3.74,0.994817,2.540987,-0.004935703140914477,-0.04557353015978533,0.04705025438875027,0.00809107177279333,-0.07011224205706501,-0.05054260170750855,-0.017338693986812644,0.02696782335918978,-0.049940076990661525,-0.05557406981666731,0.271,1.266,0.311,1.049,0.283,1.204,2015-11-02,health_care_equipment_and_services
AMEH,ISRG,2020-10-19,0.765,2.653,0.847,159.356,3.74,0.83452666,1.6271627,0.012876676748670773,-0.004189954700153675,0.032547289740988625,-0.037396379773402995,0.0140973970537713,-0.003080476791946633,-0.010353758960377522,0.01739532692809913,-0.003987383002831346,0.0009407325588263668,-0.015,2.8,-0.056,3.201,-0.066,3.296,2015-11-02,health_care_equipment_and_services
AMEH,MODV,2020-10-19,0.863,4.245,0.645,55.896,3.74,0.95447785,3.8359957,-0.01763335299899428,-0.03237705446376009,-0.05088612728315305,-0.02491626493079928,-0.022311918673972083,0.013982083828655087,0.04511502746775253,0.007632041834622939,0.018333067991464197,0.0712857745977727,-0.163,6.271,-0.228,7.085,-0.485,10.295,2015-11-02,health_care_equipment_and_services
AMEH,QDEL,2020-10-19,0.667,2.93,-0.923,102.531,3.74,0.9881284,2.7027686,0.019411182113929074,-0.04868155675127714,-0.10141974525198205,-0.01354045654231278,-0.027439825111304786,-0.15238116975679744,0.02747937337323479,-0.003689604111665989,-0.0031645027556420117,-0.002406529550101945,0.26,1.863,0.254,1.885,0.171,2.229,2015-11-02,health_care_equipment_and_services
AMEH,STAA,2020-10-19,0.765,2.92,0.305,28.073,3.74,0.9386994,2.6202333,0.07443661732703799,0.01717731188475266,0.027639890730082776,0.017616715339266713,-0.05967527312650392,0.028475397552809388,0.061723066869540856,0.015910176742521015,0.04270685976574519,0.07842107788265755,-0.177,4.031,-0.114,3.637,-0.272,4.626,2015-11-02,health_care_equipment_and_services
AMN,QDEL,2020-10-19,0.647,3.204,-1.317,159.485,3.74,0.9259017,0.29499227,0.09322902167031719,0.08132995046671986,-0.029144115419038653,0.014738157731565341,-0.04285474049251163,-0.049042626591102735,0.0717176163527479,0.0033854455328804186,-0.07234466869658306,0.0766706897936232,0.41,2.004,0.347,2.189,0.196,2.629,2015-11-02,health_care_equipment_and_services
ANTM,CYRX,2020-10-19,0.549,2.763,0.139,-18.342,3.74,0.9343045,2.3356638,0.0008935057142945596,-0.003922222307662237,-0.03799830525218999,0.04579078675385391,0.013454983247334806,0.06579866682500321,-0.012700588616962723,0.037162194226109474,0.027125148447437172,0.010487057041768779,0.068,2.123,-0.018,2.929,-0.233,4.954,2015-11-02,health_care_equipment_and_services
ATRC,MOH,2020-10-19,0.824,3.121,3.753,14.061,3.74,0.53832865,0.13295612,-0.00859085849683038,0.012959427910748418,-0.007693615125318702,-0.003197771410950447,0.007981595460698253,-0.005392431702920067,-0.02388068067942635,-0.019543279522297355,0.006155264500134442,0.025563561291557527,-0.029,3.845,0.142,-0.459,0.141,-0.434,2015-11-02,health_care_equipment_and_services
ATRC,STAA,2020-10-19,0.588,3.626,1.226,-4.061,3.74,0.51194173,1.0726488,0.03394037694961557,0.060707231622704735,0.02703793806938444,0.04606485466952413,0.004966903423230671,-0.004960942720223109,0.0011438490496580795,-0.0001565063009075472,-0.028801821418029797,-0.011531745145455824,-0.105,5.534,0.062,2.504,0.003,3.567,2015-11-02,health_care_equipment_and_services
BAX,CYRX,2020-10-19,0.804,3.321,0.684,-33.886,3.74,0.83446354,2.886531,0.03924864385101708,0.04936127475765033,0.004316324537359929,-0.028406349443398125,-0.014739559858043956,-0.015143431488594594,-0.006128729783335841,0.07856502829692066,0.0015882180089995918,-0.06459822654193789,0.005,3.258,-0.045,3.892,-0.25,6.481,2015-11-02,health_care_equipment_and_services
BAX,SLP,2020-10-19,0.529,3.141,1.24,-62.777,3.74,0.019379063,2.386342,0.06279410076173617,0.0008314593512279453,-0.01864916007214095,-0.017575525744698457,-0.024197056279990234,-0.014498371567959592,0.035827098460403446,-0.06955607858223525,-0.05433110663318435,0.02604761316832409,0.041,2.496,0.047,2.394,-0.038,3.747,2015-11-02,health_care_equipment_and_services
BDX,CYRX,2020-10-19,0.745,3.258,0.215,-32.062,3.74,0.7908925,2.6796317,-0.048079333699957816,-0.05701666727910882,-0.008411216670579964,-0.03400393105252098,-0.02504271759969124,0.004196450412464451,0.042206234650911965,-0.02801582402617446,0.023629201169826985,0.03307000717089949,0.019,3.062,-0.022,3.488,-0.197,5.29,2015-11-02,health_care_equipment_and_services
BDX,ISRG,2020-10-19,0.902,3.602,1.086,-73.301,3.74,0.81843084,1.5568583,-0.04515151417486956,0.0023214405998665784,0.04366161532862146,0.0010035697852104474,0.011114989614358615,0.007546934752947752,-0.012554565957291425,-0.028911876508203725,0.004885162117537107,-0.005918262984270536,0.002,3.557,-0.004,3.696,0.014,3.243,2015-11-02,health_care_equipment_and_services
BDX,QDEL,2020-10-19,0.686,3.159,1.328,-216.59,3.74,0.3882371,0.15695898,-0.01687845255175855,0.022955666651033477,0.03428377040934229,0.056879841673868815,0.04150464320307001,-0.03763286128686923,-0.07517638288258711,0.005882244465077113,-0.003551527095301729,-0.0148354642503697,0.124,1.883,0.137,1.749,0.142,1.703,2015-11-02,health_care_equipment_and_services
BDX,UNH,2020-10-19,0.765,2.993,1.132,-9.922,3.74,0.7312495,1.0448478,0.040054994984469364,0.037018483987134095,0.0433401845766763,0.065690476506628,0.019652797883829273,0.03895567747961684,0.005798819615019521,-0.052886266806609836,0.05143189899078951,0.008659029437608639,-0.038,3.919,-0.009,3.209,0.003,2.919,2015-11-02,health_care_equipment_and_services
BSX,ENSG,2020-10-19,0.51,2.811,1.619,-18.827,3.74,0.31849158,0.7864523,-0.05078814588127836,0.007744933483600389,0.046821937468973,0.014854789013980175,0.0047670462655682215,-0.025234509289310137,0.007597300240877743,0.002866230879319983,0.05028142138649983,-0.004845916624467666,-0.143,6.023,-0.178,6.813,-0.253,8.513,2015-11-02,health_care_equipment_and_services
BSX,LHCG,2020-10-19,0.647,3.248,4.659,-53.3,3.74,0.9502307,0.14315556,0.045451367292590916,-0.017656464533504328,0.03193345736997902,-0.0037634533179006046,0.06268361220243746,-0.03097220692321374,-0.08936491763212552,0.01629097764580207,-0.04781213405884407,-0.08305732863162658,-0.004,3.293,0.002,3.222,-0.0,3.254,2015-11-02,health_care_equipment_and_services
BSX,MLAB,2020-10-19,0.98,2.689,6.26,-17.465,3.74,0.7972647,0.42880204,-0.00996495386562783,0.034567812111281605,-0.003212132861660584,0.04685585350933903,-0.012925159173418705,-0.00853031302186812,0.012421191566225584,0.012208469302885015,0.00753278984533803,0.03344346825153386,-0.063,4.236,-0.052,3.968,-0.049,3.887,2015-11-02,health_care_equipment_and_services
BSX,STE,2020-10-19,0.529,3.313,3.861,-14.472,3.74,0.36687556,2.9859607,0.028659967352789695,0.07181472540244498,-0.051088650658612796,-0.039431277764424046,-0.16162165945836388,0.050041107816179806,0.08840945837779804,0.05216080726953214,0.15234988872297398,0.06591852883654109,-0.058,4.521,-0.018,3.678,-0.023,3.799,2015-11-02,health_care_equipment_and_services
CHE,CYRX,2020-10-19,0.765,2.904,0.097,-17.782,3.74,0.7180493,1.7613075,0.04128428743562221,-0.007642300541751006,-0.041171570338491795,-0.009806836055243627,-0.01968452705246895,-0.003206615899589329,0.015528322291461599,0.07119154372336407,0.03454583721911308,-0.01973888919863858,0.004,2.847,-0.014,3.119,-0.203,5.962,2015-11-02,health_care_equipment_and_services
CHE,IDXX,2020-10-19,0.569,3.431,0.659,10.59,3.74,0.38028395,2.509293,-0.025701170787333704,-0.01244497286467472,-0.010351391374025526,-0.024136887477590355,0.010753985999157828,-0.003064033015113552,-0.01320688986137137,0.026798134845068364,-0.011759047868041337,-0.038664557455087664,-0.053,4.946,-0.049,4.81,-0.053,4.947,2015-11-02,health_care_equipment_and_services
CHE,PODD,2020-10-19,0.765,3.041,0.619,-94.65,3.74,0.02915283,0.2456346,0.02800352409993462,0.025148895358599977,0.016916102150305954,0.002788005939422457,-0.0016309825600555191,-0.016597938778829865,-0.024347032313792864,-0.0011596279576056388,0.013931329433356569,-0.023718875309870973,-0.025,4.012,0.053,1.01,-0.019,3.777,2015-11-02,health_care_equipment_and_services
CNMD,CYRX,2020-10-19,0.647,3.133,0.209,1.128,3.74,0.94548833,0.19405591,0.04263232619902595,0.00908944490180744,-0.015813006604245537,0.0039020439275365567,0.0021150735865326144,0.01833731708631451,0.01250661702257699,-0.007366263691774597,-0.03309661728150593,0.008445547352644998,0.075,2.624,0.025,2.96,-0.256,4.883,2015-11-02,health_care_equipment_and_services
CNMD,MDT,2020-10-19,0.922,2.584,0.601,43.61,3.74,0.026125873,0.97520304,0.05216640218838055,0.0037973297201250532,0.04233429634956249,0.009127385908208049,-0.05041234752393137,0.0118099926685083,0.06969121562080448,0.0009511933560650946,0.037695696553843784,0.03983009751637505,0.064,0.745,0.074,0.464,0.078,0.337,2015-11-02,health_care_equipment_and_services
CNMD,PODD,2020-10-19,0.627,2.673,1.831,-11.092,3.74,0.96328294,2.5864675,0.030694532706091477,0.031661824618770235,-0.018390794779871853,0.008518852570440003,-0.015549355503057876,0.0005817123810605519,0.015980982726713198,-0.005815316786014796,0.028730718850149734,0.0012407371670241092,0.06,2.106,0.158,1.187,0.066,2.054,2015-11-02,health_care_equipment_and_services
CNMD,SYK,2020-10-19,0.569,3.231,1.143,91.412,3.74,0.43681663,0.74804527,-0.03464416323153742,-0.07285732138206974,-0.06434575549580329,-0.08546353463203152,-0.01354593234520772,0.01226101924001297,-0.01050325590577162,-0.004099612992335628,-0.1081932256793731,-0.03520577216453924,0.037,2.174,0.056,1.625,0.063,1.432,2015-11-02,health_care_equipment_and_services
COO,SNN,2020-10-19,0.765,-2.519,0.094,10.871,3.74,0.05670461,-0.67190033,-0.042387361767001704,-0.04555588451929662,-0.017771342547456742,-0.03295877843602854,0.01212664486794589,0.021975615084255575,-0.029824823563006267,0.10460992683641283,0.020221570246625926,-0.04866379958252083,0.036,-1.534,0.043,-1.355,0.053,-1.06,2015-11-02,health_care_equipment_and_services
CRVL,SNN,2020-10-19,0.882,-2.612,0.271,19.069,3.74,0.8684768,-0.28450543,-0.013286969012093265,0.0005167606207094335,-0.02879902989623665,-0.01108302343194727,-0.005052972939057177,0.008234318044276448,-0.02821473548313217,-0.017065187747442565,-0.007825230983716293,-0.02201634718963986,0.006,-2.468,0.008,-2.411,0.053,-1.286,2015-11-02,health_care_equipment_and_services
EHC,QDEL,2020-10-19,0.549,2.921,2.377,-29.352,3.74,0.9857365,2.795477,0.02950009273810517,0.05932871876146217,0.007703130915453424,0.029770622669956868,-0.021558684820425236,0.016458791557978213,0.03615509174471392,-0.026377641279464986,0.0528125612122138,0.016214980309174898,0.221,1.443,0.245,1.285,0.223,1.43,2015-11-02,health_care_equipment_and_services
EHC,STAA,2020-10-19,0.686,3.571,1.216,-25.667,3.74,0.94830126,2.5980408,0.08287488268081401,0.08924877158803554,0.015217750140715467,0.03418251953441237,-0.003955276822887807,-0.023564722673928094,0.023173690557141316,0.002926469527626782,0.051164133378500676,-0.023422188922301166,-0.019,3.856,0.06,2.68,-0.008,3.688,2015-11-02,health_care_equipment_and_services
GMED,MODV,2020-10-19,0.588,4.11,0.811,27.856,3.74,0.88336176,3.7602484,-0.008558197907154695,-0.001415275213884587,-0.06933401367812578,-0.00326701764282886,0.007074946031089421,-0.012344765695834505,0.022488183334265978,0.02576592692613168,-0.007666897502034644,0.00592056702074958,-0.121,6.221,-0.125,6.277,-0.344,10.083,2015-11-02,health_care_equipment_and_services
IART,LH,2020-10-19,0.863,2.853,1.116,106.2,3.74,0.87345105,0.65758574,0.027787004855543168,-0.01027875831360987,-0.07693054874250886,0.02153377617505407,-0.03455741225802675,0.07262276963219733,-0.0019436972299295779,0.02120917295672224,-0.009499037398745169,0.048815350428976056,0.014,2.609,0.052,1.915,-0.02,3.211,2015-11-02,health_care_equipment_and_services
ICUI,MODV,2020-10-19,0.627,4.241,0.021,62.569,3.74,0.90155214,4.159544,-0.031079613480761815,-0.008825874982185344,0.0512499965411222,0.00491505385938896,-0.06632789609609549,0.04159225175756223,0.11485801350112768,0.041276499516602616,0.04369962666391444,0.048532467530674556,-0.177,6.261,-0.24,6.972,-0.538,10.377,2015-11-02,health_care_equipment_and_services
ITGR,MLAB,2020-10-19,0.706,2.877,2.322,43.572,3.74,0.12902881,1.2264894,-0.009615923102488738,0.011916263331936593,-0.010580918366048768,-0.0263340726794058,-0.04912733060455367,0.04765744074752583,0.07407013769024051,0.0009382537078238369,0.05188820999490685,0.07633204483731294,0.004,2.81,0.055,2.015,0.032,2.384,2015-11-02,health_care_equipment_and_services
