ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ABT,2022-04-13,0.549,-3.546,0.819,18.479,3.97,0.104895405,-1.7898991,-0.007,-3.739,0.003,-3.449,0.023,-2.89,2017-04-28,health_care_equipment_and_services
ABC,ATRC,2022-04-13,0.588,-3.656,0.746,-25.721,3.97,0.05281808,-3.210485,-0.048,-4.525,-0.043,-4.427,0.001,-3.647,2017-04-28,health_care_equipment_and_services
ABC,CYRX,2022-04-13,0.51,-2.939,0.619,-24.137,3.97,0.19446625,-2.5107543,-0.007,-2.998,0.05,-2.51,0.098,-2.098,2017-04-28,health_care_equipment_and_services
ABC,DGX,2022-04-13,0.98,-3.206,0.861,30.417,3.97,2.544145e-05,-1.1539865,0.027,-2.474,0.03,-2.404,0.059,-1.639,2017-04-28,health_care_equipment_and_services
ABC,ENOV,2022-04-13,0.765,-2.545,0.528,8.669,3.97,0.17891318,-1.2829365,-0.006,-2.648,0.01,-2.385,-0.032,-3.063,2017-04-28,health_care_equipment_and_services
ABC,ISRG,2022-04-13,0.569,-3.242,2.57,-21.813,3.97,0.0073270667,-2.2102294,-0.053,-4.325,-0.056,-4.401,-0.032,-3.895,2017-04-28,health_care_equipment_and_services
ABC,LH,2022-04-13,0.863,-3.404,2.268,-16.124,3.97,0.0001585395,-1.868231,-0.004,-3.51,-0.011,-3.684,0.034,-2.527,2017-04-28,health_care_equipment_and_services
ABC,MOH,2022-04-13,0.608,-3.163,3.112,-113.09,3.97,0.029150411,-0.38231757,-0.01,-3.622,-0.008,-3.506,0.033,-1.66,2017-04-28,health_care_equipment_and_services
ABC,NEOG,2022-04-13,0.627,-3.486,0.138,23.416,3.97,0.057876594,-2.794286,-0.056,-4.18,-0.095,-4.662,-0.103,-4.759,2017-04-28,health_care_equipment_and_services
ABC,RDNT,2022-04-13,0.941,-2.792,0.229,-2.97,3.97,0.04190611,-1.821332,-0.023,-3.088,0.014,-2.613,0.039,-2.296,2017-04-28,health_care_equipment_and_services
ABC,RMD,2022-04-13,0.529,-3.256,2.126,-26.789,3.97,0.046665438,-2.3818648,-0.033,-4.024,0.018,-2.834,0.055,-1.988,2017-04-28,health_care_equipment_and_services
ABMD,HSIC,2022-04-13,0.569,3.115,0.089,45.245,3.97,0.13338807,1.1013589,0.034,2.484,0.087,1.485,0.103,1.188,2017-04-28,health_care_equipment_and_services
