ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,NTUS,2019-06-17,0.686,-2.527,-0.091,42.188,4.14,0.13547936,-1.071745,0.028270768083276623,-0.03695248246048977,0.03136698667694408,0.018834686377461312,-0.042643428446099765,0.0063283811035054665,0.012557791036760687,0.068967572412058,0.021707161349951477,0.0012575039415258012,0.137,-2.028,0.416,-1.005,0.451,-0.88,2014-06-30,health_care_equipment_and_services
ABMD,MDT,2019-06-17,0.529,2.786,0.043,68.043,4.14,0.40529066,1.63026,0.00769398721535466,-0.03570999325871042,0.047354591273455586,0.0037279158541642377,-0.03532981247523976,0.018608779323689508,0.012484322013424318,0.06515981429302398,-0.019416143076067278,-0.041253162874572674,-0.037,3.609,-0.072,4.416,-0.141,5.948,2014-06-30,health_care_equipment_and_services
ABMD,PODD,2019-06-17,0.549,4.267,0.195,22.16,4.14,0.45100215,3.8366256,0.04444265576620211,0.06113223690100468,0.032357570728652627,0.0021448803137262447,0.0007449020357707657,0.030245999859116978,0.005643608202560801,-0.04230551821656586,-0.028378095920732326,-0.009561778852697506,-0.024,4.658,-0.285,8.853,-0.237,8.079,2014-06-30,health_care_equipment_and_services
ABMD,RMD,2019-06-17,0.627,3.722,0.157,47.245,4.14,0.72041535,1.5392839,-0.030440761607955034,0.030709303592770302,-0.02362323854850273,-0.0024886849749603027,-0.014744668497485937,-0.014098093050595967,0.0360001833549693,0.01185073444148538,0.0244129520555901,0.04612618862752082,-0.029,4.321,-0.154,6.883,-0.145,6.705,2014-06-30,health_care_equipment_and_services
ABMD,STE,2019-06-17,0.667,3.928,0.16,52.351,4.14,0.84471524,3.9053621,0.0363229354407364,-0.09426863005971353,0.06366928514355018,-0.007167609564150837,0.030609803156812512,-0.019871036862330396,-0.026190267349555405,0.02535081094349296,-0.007450074165214719,0.011030219745766427,-0.025,4.308,-0.107,5.583,-0.069,4.994,2014-06-30,health_care_equipment_and_services
ABT,CNC,2019-06-17,0.686,-2.522,0.896,1.196,4.14,0.27893552,-1.6006541,-0.002252359564922578,-0.028339879495985737,-0.04125704111276477,0.012889600459233748,0.021070381244454407,0.023752008309842282,-0.011669620560820937,0.04564389284420315,-0.016942385483553313,0.026958177322099385,-0.042,-3.315,-0.074,-3.935,-0.082,-4.077,2014-06-30,health_care_equipment_and_services
ACHC,NTUS,2019-06-17,0.941,-2.508,0.294,23.354,4.14,0.9241796,-0.7546681,-0.014454068795077981,-0.054660513111498936,0.02497232385436715,-0.026086020291588543,-0.01728888182269537,0.005068218957730989,0.005328018490179238,-0.0006989079869113663,0.01573390428473111,-0.01563945178996139,0.08,-1.814,0.257,-0.291,0.231,-0.519,2014-06-30,health_care_equipment_and_services
ALGN,CYRX,2019-06-17,0.627,3.936,0.046,-1.59,4.14,0.121084124,1.6488875,0.04157790991437109,-0.025150027078537748,0.05437048050420353,-0.09189034302955953,0.02718752230690187,-0.020607938146459292,-0.023901411324966364,-0.006493804402044038,-0.045529295988192185,-0.027655358991882147,-0.042,4.679,-0.328,9.803,-0.131,6.276,2014-06-30,health_care_equipment_and_services
ALGN,PODD,2019-06-17,0.902,3.686,0.234,18.122,4.14,0.732585,1.8886505,-0.025243483145426113,0.012677146247309345,-0.04977047685102035,0.01913677897664658,-0.010821904269557725,0.052364354183081975,0.011224069693289093,0.0028053133179305693,0.026498961633824637,0.03283506665821459,-0.032,4.398,-0.336,11.099,-0.284,9.96,2014-06-30,health_care_equipment_and_services
ALGN,STE,2019-06-17,0.725,3.141,0.187,49.992,4.14,0.8785774,0.5486348,-0.006326527435177767,-0.012360147947858781,-0.03828982874568455,-0.049818691182500784,-0.03279382145980971,0.043983494309005756,0.021874966416160307,-0.13417266059075306,0.029792416723989926,0.03317108229431946,-0.031,3.671,-0.158,5.857,-0.116,5.139,2014-06-30,health_care_equipment_and_services
AMEH,PODD,2019-06-17,0.706,2.995,2.867,28.423,4.14,0.7729657,0.8822059,0.010253779955271772,0.04694418823205752,-0.014898265354754218,0.05451306060792065,0.05616455357032477,-0.04286379975721586,-0.03792053460233215,-0.003453053019729127,0.0008297241477008711,0.03459700496046544,-0.048,3.561,-0.214,5.536,-0.095,4.12,2014-06-30,health_care_equipment_and_services
AMEH,RMD,2019-06-17,0.686,2.566,2.363,51.566,4.14,0.84136796,0.44827262,0.03704526650732242,-0.017998943712324855,-0.05218135289654204,-0.0038902922291116746,-0.026281339440292734,-0.07716570939412024,0.005825871830356438,0.03684732601011771,0.02351614565832555,0.04534551336421352,-0.049,3.326,-0.09,3.951,-0.02,2.872,2014-06-30,health_care_equipment_and_services
AMEH,SLP,2019-06-17,0.588,3.355,0.589,7.046,4.14,0.8330435,1.7053634,-0.057347526757662644,0.03216237588897797,-0.009479853787580166,-0.005326853867278333,0.002403992935635348,-0.01422176156700655,0.003518883533129238,0.0080964187241894,0.022387028288448865,0.08194742969213756,-0.156,5.26,-0.262,6.557,-0.155,5.254,2014-06-30,health_care_equipment_and_services
AMEH,SYK,2019-06-17,0.529,2.648,3.087,103.124,4.14,0.753491,0.74049264,-0.009395922121687664,-0.06768630830396435,-0.04183511915391556,-0.09228404181715892,-0.07392019176682602,0.04099437461823085,0.113924605496201,0.0278095673279315,-0.008156135453095754,0.05741596779849044,-0.062,3.715,-0.078,3.995,-0.028,3.135,2014-06-30,health_care_equipment_and_services
AMEH,TFX,2019-06-17,0.549,2.941,5.556,153.247,4.14,0.713034,0.69021696,-0.010799341340904425,-0.048565356667758366,-0.06756105287270679,-0.038804923624743054,-0.0016890090570643114,0.004709283805502295,0.027364566398183066,-0.009626902765160695,0.013371232127396654,0.04210512531310344,-0.034,3.47,-0.103,4.545,0.043,2.272,2014-06-30,health_care_equipment_and_services
AMN,PODD,2019-06-17,0.588,2.851,1.936,-24.028,4.14,0.11909331,0.78823096,0.007159615433684298,0.023041803686643797,0.0748718461561397,0.048738389387843875,0.014952841772110122,-0.023298390583559033,-0.019141538010881965,-0.0540893059925132,-0.057211842322990994,-0.022458544622717323,0.004,2.794,-0.136,5.008,-0.102,4.458,2014-06-30,health_care_equipment_and_services
AMN,RMD,2019-06-17,0.706,2.502,1.626,6.918,4.14,0.043998115,0.6075876,0.1692380313359662,0.07078895803614985,-0.09626437537961544,0.08009957590502939,-0.013590969281092853,-0.05409105107613913,0.007105045266499623,0.012929599625531344,0.07742487419396692,0.08425497958627336,-0.002,2.548,-0.047,3.49,-0.042,3.389,2014-06-30,health_care_equipment_and_services
ANTM,HUM,2019-06-17,0.608,-2.556,0.786,85.528,4.14,0.34230256,-2.1239004,0.0009487307550300769,-0.052401623581463906,0.035860993162767606,-0.042572403282138266,0.01577682189322031,-0.01908231254072958,-0.033768204609775664,0.011161914296598224,-0.051276747856431375,-0.023846890563920725,0.03,-1.905,0.099,-0.417,0.096,-0.479,2014-06-30,health_care_equipment_and_services
ANTM,SLP,2019-06-17,0.608,2.951,0.084,-1.931,4.14,0.63375396,0.5167629,-0.005363946283755121,0.004748962001350608,0.07424183947275845,0.023573707524137507,-0.018237605424967756,0.022134689009852274,0.023800706636576234,-0.01615030831515155,0.011513582246395251,0.008488087518612786,-0.073,5.007,-0.212,8.924,-0.204,8.711,2014-06-30,health_care_equipment_and_services
ATEC,NTUS,2019-06-17,0.725,-3.102,1.225,30.987,4.14,0.94689906,-1.2551888,-0.02870719111214789,-0.032366601898358,0.022735342606077583,-0.01192702067104245,0.020944392367086253,-0.023041681616056367,-0.050893325014350545,-0.015674595518300395,0.022627076621083632,-0.02112340074098171,0.071,-2.61,0.181,-1.845,0.207,-1.658,2014-06-30,health_care_equipment_and_services
BDX,BSX,2019-06-17,0.706,2.63,0.172,-4.167,4.14,0.21132039,1.8523879,-0.0013755116710867299,-0.023800917587132542,-0.033971427391979454,-0.028530871423012846,0.09032020661433292,-0.051604053466773936,-0.09391510993061288,0.016825190868322744,-0.052167852104729524,-0.03538578268737395,0.017,2.122,0.01,2.325,0.036,1.522,2014-06-30,health_care_equipment_and_services
BDX,CYRX,2019-06-17,0.569,3.427,0.142,-19.736,4.14,0.012518743,0.8643314,0.04458084334361266,-0.0030095604037060943,0.038968200150737216,-0.016560472980794723,0.009929204757471,-0.053671709196969626,-0.10444026609862465,0.07365167157889363,-0.012052363792009997,-0.009598896846687958,0.025,2.812,-0.072,5.176,0.085,1.366,2014-06-30,health_care_equipment_and_services
BDX,PODD,2019-06-17,0.549,3.844,0.756,-80.71,4.14,0.00034960874,0.8487541,-0.041051474697078476,0.028169871583084455,0.03790762904231648,0.037596449700968676,-0.004689282274900532,0.08406911205806429,0.09804770930966673,-0.06038064426884674,0.05018107919604616,-0.013163368645347995,0.027,2.851,-0.093,7.203,-0.03,4.942,2014-06-30,health_care_equipment_and_services
BDX,RMD,2019-06-17,1.0,2.778,0.599,-33.626,4.14,0.0001832664,0.36730534,-0.0003358554695605302,-0.12631595267740128,0.02153439381180404,-0.10518191215400162,-0.005933951403692895,0.04610833214916985,0.05523144658653625,0.010184565316109498,0.015870751713853284,-0.017563269755451565,0.019,1.997,-0.028,3.915,0.008,2.452,2014-06-30,health_care_equipment_and_services
BDX,SLP,2019-06-17,0.745,3.955,0.154,-15.066,4.14,0.086461514,1.1628418,0.06569327088614191,0.021643125782160388,0.030132373924845975,0.06552270565017768,0.025690565195886292,-0.018442823180072423,-0.06068236252618891,-0.009249880526177388,-0.041023257185009196,-0.032586227408806574,-0.041,5.227,-0.128,7.923,-0.07,6.138,2014-06-30,health_care_equipment_and_services
BDX,SYK,2019-06-17,0.882,3.162,0.802,-11.914,4.14,0.71163446,1.0821112,-0.024649116713244754,0.09162826976242361,-0.039415117649773755,0.02215265775615208,0.03781185950554861,-0.012570083368292339,-0.030866965893006245,-0.027476971095000604,-0.030889845154128185,-0.07014938679940737,0.004,2.962,-0.026,4.367,0.001,3.128,2014-06-30,health_care_equipment_and_services
BDX,TFX,2019-06-17,0.647,3.205,1.426,-50.52,4.14,0.34888577,1.6849554,0.007243108415512668,-0.023975307201844886,0.000346534421866193,0.00045300727680882825,0.01729500468077748,0.03694443126441898,-0.011286729286232918,-0.01598243021781251,-0.008797519357296243,0.021104723842040297,0.024,2.356,-0.042,4.67,0.047,1.536,2014-06-30,health_care_equipment_and_services
CHE,HUM,2019-06-17,0.824,-2.685,0.609,99.528,4.14,0.8064654,-1.3681722,-0.06994175784396162,-0.012336884233839626,0.03914973240274154,0.012342777038658244,-0.02585483633422475,0.0725701282718633,0.042368836462583395,0.042852988153889736,0.05847785564992118,0.036105412187139245,0.022,-2.227,-0.029,-3.279,-0.047,-3.669,2014-06-30,health_care_equipment_and_services
CHE,SLP,2019-06-17,0.902,3.014,0.066,-0.797,4.14,0.4390571,1.0165023,-0.009063789200445031,-0.01931695331386784,0.021655612671723976,-0.06369752065996112,-0.050312702378645116,-0.023187478244017738,0.0688079863888673,0.0907037941500389,0.13159345552032867,0.13121269186485465,-0.064,5.069,-0.084,5.693,-0.061,4.954,2014-06-30,health_care_equipment_and_services
CNC,CYRX,2019-06-17,0.549,3.731,0.298,-6.585,4.14,0.32086584,2.5896063,-0.04606429230063182,0.042741029503237396,0.012441946178185696,-0.019860415188093367,-0.0022519555023202504,-0.03216707488309662,-0.0339988952272602,0.06328354844494216,-0.02295431598726604,-0.07812593828288798,-0.047,4.427,-0.212,6.897,-0.052,4.507,2014-06-30,health_care_equipment_and_services
CNC,MOH,2019-06-17,0.529,2.766,2.23,-21.581,4.14,0.18779162,2.147196,-0.01695646341072289,-0.011265073653815988,0.0015671770582089625,0.0009473852241749623,0.007998474170120895,0.03787432252389042,-0.0161261156746155,0.017435231598349536,-0.008695133656131919,0.043274400254324004,0.007,2.648,-0.015,3.007,0.04,2.108,2014-06-30,health_care_equipment_and_services
CNC,RMD,2019-06-17,0.647,3.515,1.291,20.489,4.14,0.51485795,0.8713615,0.03798465280812489,0.024817105220984105,-0.022081185796309667,0.04007795269909832,0.003148364294192259,-0.008645551756669012,0.011168070314968036,-0.04589287737463896,0.01614857102902966,0.011294363385927705,-0.04,4.594,-0.126,6.916,-0.127,6.955,2014-06-30,health_care_equipment_and_services
CNC,STE,2019-06-17,0.745,3.935,1.342,23.679,4.14,0.8833699,0.3304361,-0.0785222758906436,-0.024097891458174224,0.02981045666871066,-0.017731010130376954,-0.006922537199376689,-0.0038838025031784074,0.0005336353839084882,-0.027141453417278014,-0.026366226487723743,0.03261578218187854,-0.035,4.637,-0.09,5.734,-0.065,5.245,2014-06-30,health_care_equipment_and_services
CYRX,QDEL,2019-06-17,0.51,-3.63,3.69,13.661,4.14,0.28352958,-1.2492906,0.014767536273235134,-0.035465357287660544,0.0783842022157336,-0.046769358004660574,0.042172099951783476,-0.09978000998298407,-0.08491380187836052,0.022572129759630574,-0.0240496375286036,-0.033776161994942,-0.036,-4.286,-0.126,-5.947,0.084,-2.093,2014-06-30,health_care_equipment_and_services
CYRX,RDNT,2019-06-17,0.961,-2.831,0.63,5.22,4.14,0.665941,-0.9376614,-0.010783678334635413,0.004808228403024919,-0.0314977046432065,-0.0290890069426128,-0.02724563365345781,0.014301075581525444,0.0533834377309769,-0.015991498789022583,0.01717793731375811,-0.018619408528307808,0.035,-2.241,-0.033,-3.387,0.122,-0.8,2014-06-30,health_care_equipment_and_services
