ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACIW,AZPN,2022-06-03,0.824,4.183,1.749,75.377,3.696,3.486,0.943,3.625,0.03,-0.012,-0.031,0.018,0.0,-0.009,-0.01,0.039,0.008,-0.0,0.031,3.769,-0.047,4.806,-0.062,5.007,2017-06-19,software_and_services
ACIW,IBM,2022-06-03,0.725,2.702,0.799,89.982,3.696,3.486,0.021,1.198,0.054,0.071,0.025,0.054,-0.025,-0.004,0.007,-0.009,0.068,-0.047,0.012,2.519,0.057,1.802,0.048,1.941,2017-06-19,software_and_services
ACN,EXLS,2022-06-03,0.549,3.559,0.409,-13.384,3.696,3.486,0.015,2.676,-0.01,0.013,-0.03,0.028,0.053,-0.025,-0.035,-0.024,-0.084,-0.066,-0.06,5.187,-0.078,5.679,-0.096,6.174,2017-06-19,software_and_services
ADP,AZPN,2022-06-03,0.843,3.718,0.497,44.074,3.696,3.486,0.177,0.553,0.041,0.022,-0.014,0.028,-0.001,0.027,-0.018,-0.072,0.003,0.023,0.028,3.046,0.002,3.676,0.006,3.564,2017-06-19,software_and_services
ADSK,PEGA,2022-06-03,0.784,-3.517,0.412,6.287,3.696,3.486,0.393,-1.505,-0.043,0.012,0.009,-0.024,0.003,-0.033,-0.042,0.061,0.052,0.053,0.079,-2.552,-0.14,-5.231,-0.093,-4.651,2017-06-19,software_and_services
ADSK,SNPS,2022-06-03,0.529,2.567,0.988,-2.431,3.696,3.486,0.91,2.533,0.012,-0.016,-0.001,-0.019,-0.05,0.023,0.131,-0.016,0.026,0.107,-0.025,2.84,-0.058,3.212,-0.023,2.824,2017-06-19,software_and_services
ANSS,PRGS,2022-06-03,0.902,2.63,0.05,27.031,3.696,3.486,0.081,0.911,-0.017,-0.037,-0.072,-0.006,-0.044,0.014,0.013,0.063,0.006,0.005,0.079,1.327,0.062,1.615,0.046,1.87,2017-06-19,software_and_services
APPS,EXLS,2022-06-03,0.569,3.018,0.645,67.102,3.696,3.486,0.887,2.907,-0.006,0.025,0.01,-0.038,-0.05,0.041,0.02,-0.04,0.028,0.023,-0.039,3.305,-0.137,4.016,-0.123,3.912,2017-06-19,software_and_services
APPS,IBM,2022-06-03,0.569,2.648,0.166,109.982,3.696,3.486,0.567,0.989,0.001,0.006,-0.001,-0.018,-0.035,-0.004,0.023,0.06,0.026,-0.048,0.018,2.385,0.069,1.648,0.078,1.517,2017-06-19,software_and_services
APPS,MGI,2022-06-03,0.549,2.633,0.081,2.851,3.696,3.486,0.002,1.216,0.028,0.02,-0.035,0.013,0.007,-0.012,-0.015,-0.008,-0.024,-0.001,-0.022,2.754,0.007,2.592,-0.045,2.886,2017-06-19,software_and_services
APPS,PRGS,2022-06-03,0.882,2.742,0.118,37.868,3.696,3.486,0.609,0.559,0.066,0.027,0.066,0.161,-0.022,-0.016,-0.005,0.003,-0.022,0.005,0.099,1.255,0.048,2.03,0.062,1.815,2017-06-19,software_and_services
AZPN,SSNC,2022-06-03,0.863,-2.831,0.324,21.7,3.696,3.486,0.358,-1.6,-0.029,-0.025,-0.0,-0.023,0.009,-0.062,-0.094,0.014,-0.086,-0.066,-0.017,-3.11,-0.056,-3.736,-0.086,-4.231,2017-06-19,software_and_services
AZPN,WNS,2022-06-03,0.725,-3.415,0.444,11.158,3.696,3.486,0.304,-1.247,-0.025,-0.034,-0.042,-0.019,0.017,0.016,-0.017,-0.012,0.012,0.061,0.04,-2.566,0.043,-2.508,0.035,-2.674,2017-06-19,software_and_services
BB,IBM,2022-06-03,0.98,2.794,1.908,101.761,3.696,3.486,0.832,0.643,-0.029,-0.034,-0.017,-0.075,-0.004,-0.009,0.006,-0.014,-0.024,0.014,0.02,2.47,0.073,1.638,0.076,1.588,2017-06-19,software_and_services
BB,PRGS,2022-06-03,0.882,2.643,1.135,33.688,3.696,3.486,0.111,0.394,0.007,0.027,0.041,0.018,-0.018,-0.044,0.013,0.027,-0.008,-0.033,0.098,1.114,0.055,1.781,0.062,1.677,2017-06-19,software_and_services
BFH,IBM,2022-06-03,0.627,2.828,0.23,100.405,3.696,3.486,0.729,0.992,-0.038,-0.011,0.057,0.009,-0.023,0.025,0.019,-0.021,-0.006,0.063,-0.006,2.926,0.04,2.19,0.052,1.982,2017-06-19,software_and_services
BR,IBM,2022-06-03,0.98,2.543,0.307,73.0,3.696,3.486,0.001,0.705,0.011,-0.044,-0.045,-0.063,0.02,-0.01,-0.011,-0.012,-0.013,-0.041,0.021,2.093,0.086,0.679,0.097,0.441,2017-06-19,software_and_services
CDNS,PEGA,2022-06-03,0.569,-3.057,0.368,59.608,3.696,3.486,0.262,-0.121,-0.015,0.015,0.002,-0.023,0.003,-0.001,-0.004,0.013,0.043,-0.045,-0.011,-3.114,-0.214,-4.162,-0.183,-4.005,2017-06-19,software_and_services
CRGE,MSTR,2022-06-03,0.627,-2.675,106.925,140.944,3.696,3.486,0.403,-1.259,-0.068,-0.034,0.021,-0.035,-0.001,-0.006,0.008,0.025,-0.034,0.008,-0.041,-2.862,0.436,-0.7,0.336,-1.152,2017-06-19,software_and_services
