ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACN,GPN,2019-06-26,0.804,0.167,2.576,0.939,-25.667,3.509,3.451,0.27,0.86,0.012,0.025,0.004,-0.018,-0.054,0.016,0.02,-0.023,0.015,0.042,0.005,2.347,0.03,1.065,0.015,1.807,2014-07-10,software_and_services
ADBE,V,2019-06-26,0.725,0.0,2.622,0.423,33.031,3.509,3.451,0.288,1.301,0.027,0.015,0.005,-0.009,0.012,-0.058,-0.047,0.029,-0.051,-0.128,-0.01,3.221,-0.023,4.028,-0.032,4.561,2014-07-10,software_and_services
APPS,TDC,2019-06-26,0.627,0.0,-2.847,4.004,28.675,3.509,3.451,0.354,-1.593,-0.031,0.008,-0.014,-0.017,-0.065,0.035,0.07,-0.028,-0.005,0.041,-0.011,-2.982,-0.269,-6.156,-0.22,-5.551,2014-07-10,software_and_services
AZPN,PTC,2019-06-26,0.765,0.167,-2.947,0.796,9.343,3.509,3.451,0.652,-1.242,-0.056,-0.017,0.02,0.0,0.002,0.023,-0.001,0.043,-0.009,-0.025,-0.152,-7.534,-0.186,-8.561,-0.128,-6.797,2014-07-10,software_and_services
BB,ORCL,2019-06-26,0.627,0.0,3.009,1.273,31.965,3.509,3.451,0.761,2.283,-0.027,0.061,0.027,0.05,0.002,-0.03,-0.022,-0.01,0.015,-0.001,-0.035,3.543,0.051,2.234,-0.001,3.02,2014-07-10,software_and_services
BLKB,GPN,2019-06-26,0.608,0.0,2.966,0.678,45.447,3.509,3.451,0.986,1.588,-0.041,0.02,0.002,0.052,-0.033,-0.002,0.005,-0.04,0.03,0.107,-0.027,3.256,0.029,2.649,0.03,2.642,2014-07-10,software_and_services
CDNS,DSGX,2019-06-26,0.549,0.0,-2.89,0.448,9.891,3.509,3.451,0.688,-0.566,-0.001,0.028,-0.005,0.007,0.022,-0.051,-0.011,0.021,0.026,0.006,-0.012,-3.383,-0.009,-3.25,0.074,0.048,2014-07-10,software_and_services
CRM,INTU,2019-06-26,0.647,0.667,3.501,1.546,-9.22,3.509,3.451,0.591,0.539,0.018,0.021,-0.02,0.009,-0.002,-0.044,0.017,-0.075,-0.027,0.033,-0.022,4.669,-0.035,5.394,-0.009,3.963,2014-07-10,software_and_services
CRM,NICE,2019-06-26,0.627,0.5,3.253,0.68,15.216,3.509,3.451,0.515,1.001,0.02,0.051,0.024,0.01,0.003,0.057,0.007,0.0,-0.001,0.032,-0.03,4.455,-0.053,5.365,-0.027,4.327,2014-07-10,software_and_services
DLB,GIB,2019-06-26,0.608,0.0,2.932,0.907,5.943,3.509,3.451,0.039,1.923,-0.093,0.063,0.039,0.05,0.077,-0.008,-0.069,0.035,0.014,0.053,-0.022,3.562,-0.035,3.968,-0.025,3.671,2014-07-10,software_and_services
