ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABB,CR,2019-03-18,0.513,0.0,2.347,4.675,-21.975,4.001,3.794,0.071,1.755,0.01,-0.034,-0.01,-0.017,-0.029,-0.036,-0.001,-0.06,-0.018,-0.007,-0.012,2.579,0.003,2.294,0.028,1.792,2012-04-02,capital_goods
ABB,DCI,2019-03-18,0.684,0.0,2.327,2.356,-5.556,4.001,3.794,0.262,1.7,-0.039,0.045,0.027,0.019,-0.039,0.112,0.062,-0.011,0.039,0.042,-0.031,2.903,-0.002,2.37,0.012,2.097,2012-04-02,capital_goods
ABB,ETN,2019-03-18,0.737,0.0,3.538,3.318,-0.077,4.001,3.794,0.349,2.83,-0.02,0.019,0.042,0.01,0.018,-0.021,-0.022,0.006,-0.016,0.013,-0.006,3.712,0.019,3.019,0.024,2.895,2012-04-02,capital_goods
ABB,HEI,2019-03-18,0.526,0.0,2.741,4.55,-34.633,4.001,3.794,0.208,2.613,0.021,-0.011,-0.007,-0.002,0.024,0.005,-0.008,-0.02,0.007,0.016,-0.034,3.081,-0.055,3.295,-0.195,4.691,2012-04-02,capital_goods
ABB,HEI-A,2019-03-18,0.553,0.0,3.108,3.805,-29.074,4.001,3.794,0.245,1.373,0.014,-0.029,-0.063,0.01,-0.012,0.044,0.041,-0.022,0.037,-0.026,-0.021,3.334,-0.03,3.423,-0.132,4.508,2012-04-02,capital_goods
ABB,HUBB,2019-03-18,0.789,1.0,3.183,3.76,27.833,4.001,3.794,0.306,0.742,0.01,0.015,0.036,0.025,-0.005,0.032,0.015,-0.001,-0.021,-0.032,-0.004,3.314,0.011,2.875,0.005,3.035,2012-04-02,capital_goods
ABB,NDSN,2019-03-18,0.684,0.167,2.614,8.529,-56.254,4.001,3.794,0.07,1.667,-0.006,-0.017,-0.02,-0.059,0.012,0.005,-0.019,-0.012,0.041,-0.048,-0.032,3.275,-0.007,2.753,0.009,2.439,2012-04-02,capital_goods
ABB,OSK,2019-03-18,0.882,0.333,2.731,5.361,-41.899,4.001,3.794,0.017,1.466,-0.048,-0.011,0.039,0.019,-0.015,-0.027,-0.008,0.01,-0.031,0.017,-0.021,3.198,0.008,2.553,-0.023,3.236,2012-04-02,capital_goods
ABB,PNR,2019-03-18,0.803,1.0,2.65,1.451,10.818,4.001,3.794,0.163,0.458,-0.039,-0.019,-0.016,-0.005,-0.056,-0.026,0.03,-0.015,0.008,-0.018,0.051,0.828,0.105,-1.102,0.107,-1.179,2012-04-02,capital_goods
ABB,WWD,2019-03-18,0.553,0.0,3.773,3.593,-3.045,4.001,3.794,0.015,0.255,-0.003,-0.033,-0.082,-0.058,-0.001,0.047,0.02,0.006,0.06,-0.023,0.004,3.698,-0.085,5.244,-0.097,5.457,2012-04-02,capital_goods
ACM,HUBB,2019-03-18,0.592,1.0,2.543,2.494,16.704,4.001,3.794,0.079,0.986,0.01,-0.008,-0.003,-0.011,-0.036,-0.004,0.038,0.019,0.034,0.007,0.014,2.222,0.039,1.654,0.068,0.993,2012-04-02,capital_goods
ACM,WWD,2019-03-18,0.829,0.5,3.015,1.898,2.021,4.001,3.794,0.101,2.957,-0.001,-0.024,-0.009,-0.069,-0.037,0.039,0.043,0.018,0.037,0.029,0.02,2.745,-0.062,3.837,-0.04,3.544,2012-04-02,capital_goods
AER,AME,2019-03-18,0.539,0.0,3.808,1.46,-8.401,4.001,3.794,0.217,2.725,-0.047,-0.02,0.05,0.003,0.006,0.067,-0.009,-0.026,0.004,0.017,0.023,3.285,0.029,3.142,0.025,3.247,2012-04-02,capital_goods
AER,DE,2019-03-18,0.592,0.0,2.727,3.631,-62.022,4.001,3.794,0.076,1.907,0.044,-0.046,-0.018,-0.024,-0.012,-0.043,0.019,-0.057,-0.012,0.033,0.044,2.03,0.113,0.923,0.066,1.666,2012-04-02,capital_goods
AER,FERG,2019-03-18,0.579,1.0,2.087,1.136,6.529,4.001,3.794,0.026,0.308,-0.012,0.024,0.033,0.016,0.033,-0.007,-0.034,-0.038,-0.002,-0.028,0.047,0.733,0.058,0.414,0.036,1.041,2012-04-02,capital_goods
AME,FERG,2019-03-18,0.605,0.167,-2.031,0.651,20.518,4.001,3.794,0.146,-0.557,-0.024,0.01,0.006,0.03,0.018,-0.061,-0.011,0.029,-0.051,0.004,-0.02,-2.632,-0.024,-2.757,-0.009,-2.304,2012-04-02,capital_goods
AOS,LII,2019-03-18,0.711,0.0,3.182,3.156,16.667,4.001,3.794,0.924,1.61,-0.042,0.068,-0.051,-0.03,0.012,0.016,-0.014,-0.021,-0.002,0.039,-0.02,3.551,-0.106,5.093,-0.099,4.97,2012-04-02,capital_goods
CMI,HEI-A,2019-03-18,0.5,0.0,2.058,0.536,-22.394,4.001,3.794,0.06,1.823,-0.076,0.031,0.025,-0.01,-0.057,0.137,0.093,0.012,0.063,0.086,-0.007,2.146,-0.031,2.458,-0.111,3.511,2012-04-02,capital_goods
DE,HEI-A,2019-03-18,0.645,0.0,2.414,0.526,-13.711,4.001,3.794,0.597,1.383,-0.01,0.01,0.062,0.007,0.025,-0.029,-0.049,-0.017,0.013,-0.057,-0.011,2.706,-0.078,4.441,-0.135,5.907,2012-04-02,capital_goods
