,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
PFG_AEG,-0.018371034592106237,0.013455145729604497,0.07812408566016449,0.03293141089576159,-0.15337958833280643,0.048974975614346467,0.1306865763318407,-0.017194389267259757,0.052052777472267775,0.029888706326544022
SPNT_AEG,-0.07247809050944566,-0.05363270368044266,-0.019372984293315403,-0.014217312145452365,-0.03003854103298199,0.061252262257047725,0.022246570410837874,0.016470629082114642,-0.011511365668186523,0.07626893403025665
CINF_AFL,0.024369106855778436,-0.0018681587091175398,-0.005164666832971511,-0.02441966615665393,-0.009305738913482277,-0.016968389686549148,0.04392768014616517,-0.01755526013768864,-0.00309209770728569,0.038193810507478464
CNA_AFL,0.03684465916555505,0.008064837954652019,-0.027428722509088063,0.0012897960130783394,-0.007656281693175592,-0.02378716258792721,0.013886243799265945,0.02779909491493192,-0.06661490523339256,-0.0468970111902791
AXS_ARGO,-0.000806422301066888,0.015168697778919835,0.03354447109677931,-0.019247225321416535,-0.021360495404264778,-0.03562282296352292,-0.02773247394163451,0.07399822166723567,0.030422508358831944,-0.027733190249485732
GNW_ARGO,0.02875214094954967,0.03374834906258017,-0.010275963572986333,0.022455664542205298,-0.03088786400901667,-0.007452763405446607,0.031557349957326376,-0.0030463594581890477,0.009093974918481634,-9.795064364683628e-05
PRA_ARGO,0.08602599500856353,0.04976250410250921,-0.0062088811573673955,-0.017034880118806706,-0.028467632189949108,0.07231161584358169,0.09890447313299063,-0.019967272075069178,0.10313121971318326,0.06176575381242213
RGA_ARGO,-0.040208084496178124,0.04013199903840712,0.03491399412092403,0.08283704522654668,0.02018176362328792,0.012564730749604429,-0.056221445989441024,0.08161527947521349,0.037862121855822925,-0.05532829813253028
ESGR_BHF,-0.08939227896893319,-0.0423170265908683,0.05423327580680558,-0.017001501727986944,-0.017706711306393248,-0.019840932813264805,0.020578547677057874,-0.0030122857296099887,-0.07249554249166383,-0.08311164495679554
LNC_BHF,0.005687508345193611,0.023404189500331747,0.0406997380526392,0.023974468370471402,-0.02025793856091754,0.009770920020997694,-0.004545635988008882,0.007813731995023566,0.023904925930744184,0.006607201670075498
PUK_BHF,-0.04506721412441924,0.03169862451343737,0.03136422576478587,0.028362675963769568,-0.07804009590289433,0.14037441683560384,0.06407338168477239,-0.014415320042098655,0.13889764045003336,0.10780211661529071
PFG_CINF,-0.04980023680623365,-0.003509983411908911,0.05700953011127331,-0.005821088794377448,0.0222492274231745,-0.023461338776463166,-0.01582363696845048,0.0227665352706106,-0.0064523174927092215,-0.010479648684488047
WTM_CINF,-0.012440985139920237,-0.03667665027750795,-0.02503784977629184,-0.056280496308865675,-0.01637472278816049,0.02242470166458315,0.01984019685137507,-0.057999865358225176,0.012712116052722884,0.06681737696036032
MET_ESGR,-5.1855209568688775e-05,0.014945017452352629,0.015673054088245604,0.04260772198831905,-0.11009807250065405,0.062439210052393224,0.04358008335588428,-0.008214708153688285,0.05063544267219155,0.03525101129144317
MFC_ESGR,0.012620787247511547,-0.017381379310615896,0.025711324372729022,0.023910346295832625,0.006076684633299808,0.003676683612505362,0.021641574008067536,-0.02999543333326518,-0.014709534430805528,0.0562529458589583
PFG_ESGR,0.0415854921377099,0.01639720002500682,0.0353696181104386,-0.02647336046240725,-0.21215724094402738,0.05203985691618453,0.14927781616610392,0.005127252202080168,0.08426810810636998,0.00826249163359802
WTM_GL,-0.01985035296646934,0.0015550751972101715,-0.02771102969760389,0.01881626064913862,0.012628737599644953,0.04184249866868598,-0.030894252785526564,0.010380995635541148,0.045009875598777185,-0.023067293376479763
PRI_MCY,-0.004368599153584195,-0.016238213242425602,-0.017589607629638654,0.00915220746133977,-0.0068818223172356025,0.015234896605478783,-0.030095088900270933,-0.02984091796888517,-0.0034555977149135497,0.00020353581339059007
TRV_MCY,-0.031168204533800013,-0.0021524418713558327,0.04798692264303644,0.012078456821775227,0.020667622891509897,-0.03482203908644738,-0.028637870175697824,0.01329358129341596,-0.03232792627859073,-0.02957793320231272
SAFT_PRA,-0.005881957232918136,-0.028158353573455346,0.012397130447681206,-0.004696018239551624,0.11482956134687891,-0.03827658821399347,-0.09673356318766929,0.0207832818239456,-0.0551120116947506,-0.02189510115269494
SPNT_PRA,-0.021648772462176804,-0.027881139371705336,-0.020842339331154952,-0.028850274456678385,0.009230278569933473,-0.03392350557973969,-0.09812677595442422,0.12003834207131818,-0.006417870598667478,-0.07452751143462893
PUK_PRI,-4.684523118897857e-07,-0.03409583227753665,-0.03204939115063254,-0.005390583276018753,-0.0046085528132581545,-0.009431180173152856,0.0067724632188582165,0.03198843105515858,0.04297987614812751,-0.04101391196221137
WTM_THG,0.03680621141156317,-0.023812581628450853,-0.030696574741356123,0.029367203145246445,-0.015589809074898276,-0.03781234695676828,-0.025577844766701666,-0.009019669934040719,-0.033945602138042145,-0.04238749447300644
