,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
ALLY_AGNC,0.046674596251451296,0.03294701617753265,0.0011262008054815941,0.006239799427252497,0.0008640229495773185,-0.016313158682406244,-0.02221157822210932,-0.01786810421122662,0.00575802430304103,0.014944392872112756
BRK-A_AGNC,0.0206939271768782,0.02730423998681043,0.06212212753797569,0.01650149373084056,0.04223378146915375,0.011202302000707933,-0.016612758143954014,-0.02341238051029532,0.004864473589792168,0.07904360905774314
BRK-B_AGNC,0.05567758867651717,-0.038854617148818195,-0.020941667330119474,-0.02363258812330248,-0.011712787059583415,-0.013366610318664601,-0.005056042100304592,0.04112713581895239,0.00877915911554112,-0.09342606863041115
LPLA_AGNC,-0.020161562723991923,-0.03332009412335457,-0.017213269818859872,-0.026114009618212423,0.014337062633536873,-0.026711758376053853,-0.020106021801975366,0.035569354813328194,0.07492516162587322,0.025052911597061092
NLY_AGNC,-0.03391179390293361,-0.01521832938879156,0.013738296551893047,-0.004199392339027408,0.0011378928792239052,0.004890027777343856,-0.00620707328043402,0.009117566759854326,0.017963115462387613,-0.010047973339268655
NTRS_AGNC,-0.006291571849685193,-0.010352507299440044,-0.033087898966758955,-0.009289578093070615,0.016268470322554504,-0.013761646554506811,-0.013129386986393137,0.03226863012497332,-0.0558877286964406,-0.00345430940235094
OMF_AGNC,0.018506547283004403,0.025541535140981994,-0.006732548482331406,-0.005414866660154573,0.008249757994628114,-0.0010449349964172306,-0.007011735204509966,-0.027034394230243453,0.005273911573492309,0.02835340825999211
VOYA_AGNC,-0.033934630933923134,-0.006604147816195779,-0.002054510251291906,0.0020742719754392657,0.008999237175575216,-0.02062063000983014,-0.008865337781355152,-0.006465617728636361,-0.01185464451156644,0.0070222707690139425
BRK-B_ALLY,-0.014614395955964614,0.09814372630120666,0.0025393901066144953,0.08488855399589273,-0.16103242212041807,0.10693788861515072,0.10894421740432558,-0.07648697349104198,0.046505600864596326,0.07087627669342803
DFS_ALLY,-0.008474023887519501,0.016723468827785627,0.0008776413622882151,0.015857669901567943,-0.00908922250885158,0.017076773868315798,0.023866340017119205,0.010571455910311812,0.021483815338548845,0.03286035147838712
NTRS_ALLY,0.0454987077044355,-0.00449221595399255,-0.08208762121785376,-0.017332038845482175,-0.008556312999849523,0.010597817420116217,-0.0026495792991904606,-0.042347647932118496,-0.017886603603319996,0.061011014357364196
SYF_ALLY,0.0023999473765790157,0.016010071595860712,0.02135314996791303,0.03513353008189884,0.004326934867648174,0.01303073800429697,0.014942656810160498,-0.002393769062426085,0.03980760104353318,0.0178413228643849
VOYA_ALLY,0.0039673431080682695,0.03136824667180767,0.01334495602626199,0.021094529131507608,-0.013099885726394152,0.009807505277949638,0.02364583544767201,-0.013535709733157231,-0.006895755031005635,-0.01500186999957772
DB_AMG,0.017127844162324272,0.042997126005755226,0.05843749733193641,0.05480786076866097,0.0031537424605094996,0.009872720264055994,-0.013897918803237168,-0.0623593829194823,-0.007851440190810051,0.14952453958938663
NTRS_AMG,0.003560279316000175,-0.037275382138361506,-0.011630552148819353,0.016889838508600274,-0.011988750997040868,-0.007356543417763376,0.012823391272447637,0.0029581101514339903,0.052079272226801344,0.023744028389350993
SEIC_AMG,-0.07695681015204237,-0.05356556681473327,0.0014942697226044634,0.010562848057341926,0.03404402683078875,-0.06428043963369985,-0.06934991117943921,0.001231759753379637,-0.07445559190491322,-0.08132706465146249
STT_AMG,-0.011377373194880799,0.03437295319138599,-0.0074989882383097286,0.0450433921898088,0.03173319497374281,-0.0161061567336059,-0.026097945411547568,0.03994789382688285,-0.023265971619382396,-0.0873036538584337
UBS_AMG,0.0024918617270703798,-0.021534273766133837,0.02657823570169144,-0.014814786219478016,-0.07082253766671585,-0.014847390175441169,0.07513504523441125,-0.04188784169601972,0.0447269371610774,-0.005039699243209983
VOYA_AMG,0.023992065412296232,0.017448840707562495,0.03720095011669476,0.024659146759750554,-0.029962008147014413,0.015622882715875816,0.021083678508922458,0.03758526578108127,0.001083925084526593,-0.037288489937312465
MS_AMP,0.03764034151382032,0.02907756421721865,0.026025552527653577,0.04374278060329465,-0.026331165223766932,-0.2396399488592782,0.07180354395310483,-0.010993915611624619,-0.08542544307859616,-0.0008181767073244883
MCO_APO,-0.014632733267730241,0.020437453688755925,-0.00022401819633852853,0.017791722757112553,-0.010009926112898039,0.0035505678597721863,0.002517757507701561,-0.007640715752338173,0.04190727072944587,0.03764553595983814
NDAQ_APO,-0.018185612596755656,-0.05305821873238739,-0.0023806341339034417,-0.0318207792298425,-0.02188924340026108,-0.033075238555184835,0.06505136556030972,-0.04038037642812425,-0.012957512320062205,0.0449485585458403
SPGI_APO,0.022202826833494047,0.027853063817747242,-0.006474111299559026,0.034212821855364034,-0.04058211664910573,-0.0043565166308435176,0.007761470560597298,0.04541114398909766,0.09836646736720137,0.005739704806319798
MSCI_ARES,0.019446699741823666,0.011994355619028178,-0.05000998041227698,0.014143505296948033,0.019776051925057783,-0.009128713146145112,8.716112023339796e-05,-0.04801962008525022,-0.018657644350941763,0.04113905422570502
NDAQ_ARES,0.024421650995026654,-0.002838921388611713,0.032221167859593496,-0.006514162459864921,0.0042072045297782456,-0.022701884506019475,-0.017199377955379447,0.0017708070627383045,-0.002017947071316363,-0.05239078163753595
VOYA_ARES,-0.055497553696128486,0.001367501633813317,-0.029111254714574777,0.02338647833748806,-0.010047072945839616,-0.01789552674719562,-0.019257658219512995,0.0006131503817903541,0.009734391012070766,0.009861895055810735
BRK-B_AXP,-0.0377518360607535,0.07513789657487874,0.059898624953452745,0.07135274071948809,-0.019590761754743363,-0.020697690437046338,0.02615400535676661,0.018801477414262007,-0.021174070399667972,-0.04764064216486538
NTRS_AXP,-0.026943913044038027,-0.034146570907227704,-0.015511237127051188,8.538890395149163e-05,-0.022032347648103513,-0.03283969117913703,0.04009971041243801,-0.011895659380353413,-0.025735458379391653,0.011939801380100519
VOYA_AXP,0.04066442273068229,0.01947822821795509,-0.006570813296028514,0.005893737438268312,-0.03298273092433921,0.00031568474189446366,0.05145909595084512,-0.010285220174540862,0.02395181691354874,-0.011784035629339839
NTRS_BEN,-0.00796719623907795,0.014476442904535609,0.008298003973346148,-0.0045881576413771144,-0.020647535002946537,0.013509335406909453,0.018690915739166838,0.011548412942837606,0.007139198349614248,0.00944033745422715
