ticker,subindustry
AAPL,technology_hardware_and_equipment
MSFT,software_and_services
GOOG,media_and_entertainment
AMZN,retailing
TSLA,automobiles_and_components
NVDA,semiconductors_and_semiconductor_equipment
FB,media_and_entertainment
V,software_and_services
UNH,health_care_equipment_and_services
JPM,banks
JPM-PK,banks
JPM-PL,banks
JPM-PM,banks
JNJ,pharmaceuticals_biotechnology_and_life_sciences
BAC,banks
BAC-PE,banks
BAC-PK,banks
BAC-PL,banks
BAC-PM,banks
BAC-PO,banks
BAC-PP,banks
BAC-PQ,banks
BML-PG,banks
BML-PH,banks
BML-PJ,banks
BML-PL,banks
WMT,food_and_staples_retailing
HD,retailing
MA,software_and_services
XOM,oil_gas_and_consumable_fuels
PFE,pharmaceuticals_biotechnology_and_life_sciences
PFE.VI,pharmaceuticals_biotechnology_and_life_sciences
DIS,media_and_entertainment
CVX,oil_gas_and_consumable_fuels
KO,food_beverage_and_tobacco
ABBV,pharmaceuticals_biotechnology_and_life_sciences
AVGO,semiconductors_and_semiconductor_equipment
PEP,food_beverage_and_tobacco
CSCO,technology_hardware_and_equipment
WFC,banks
WFC PRN,banks
WFC-PC,banks
WFC-PD,banks
WFC-PL,banks
WFC-PQ,banks
WFC-PR,banks
WFC-PZ,banks
COST,food_and_staples_retailing
VZ,telecommunication_services
ADBE,software_and_services
TMO,pharmaceuticals_biotechnology_and_life_sciences
NKE,consumer_durables_and_apparel
LLY,pharmaceuticals_biotechnology_and_life_sciences
ORCL,software_and_services
ABT,health_care_equipment_and_services
CRM,software_and_services
DHR,pharmaceuticals_biotechnology_and_life_sciences
DHR-PB,pharmaceuticals_biotechnology_and_life_sciences
INTC,semiconductors_and_semiconductor_equipment
MRK,pharmaceuticals_biotechnology_and_life_sciences
MRK.VI,pharmaceuticals_biotechnology_and_life_sciences
MCD,consumer_services
UPS,transportation
QCOM,semiconductors_and_semiconductor_equipment
MS,diversified_financials
MS-PA,diversified_financials
MS-PE,diversified_financials
MS-PF,diversified_financials
MS-PO,diversified_financials
QQQ,diversified_financials
NFLX,media_and_entertainment
T,telecommunication_services
T-PC,telecommunication_services
SCHW,diversified_financials
SCHW-PJ,diversified_financials
PM,food_beverage_and_tobacco
TMUS,telecommunication_services
LOW,retailing
UNP,transportation
TXN,semiconductors_and_semiconductor_equipment
INTU,software_and_services
NEE,utilities
AXP,diversified_financials
BMY,pharmaceuticals_biotechnology_and_life_sciences
RTX,capital_goods
AMD,semiconductors_and_semiconductor_equipment
CVS,health_care_equipment_and_services
PYPL,software_and_services
C,banks
C-PJ,banks
C-PK,banks
HON,capital_goods
AMGN,pharmaceuticals_biotechnology_and_life_sciences
BA,capital_goods
GS,diversified_financials
GS-PA,diversified_financials
GS-PD,diversified_financials
DE,capital_goods
COP,oil_gas_and_consumable_fuels
AMAT,semiconductors_and_semiconductor_equipment
NOW,software_and_services
IBM,software_and_services
BLK,diversified_financials
GE,capital_goods
CAT,capital_goods
LMT,capital_goods
SBUX,consumer_services
ANTM,health_care_equipment_and_services
CHTR,media_and_entertainment
ABNB,consumer_services
BKNG,consumer_services
TGT,retailing
ISRG,health_care_equipment_and_services
MU,semiconductors_and_semiconductor_equipment
SYK,health_care_equipment_and_services
ZTS,pharmaceuticals_biotechnology_and_life_sciences
SPGI,diversified_financials
MDLZ,food_beverage_and_tobacco
MO,food_beverage_and_tobacco
MMM,capital_goods
BX,diversified_financials
SNOW,software_and_services
PNC,banks
USB,banks
USB-PH,banks
USB-PP,banks
USB-PQ,banks
USB-PR,banks
CME,diversified_financials
ADP,software_and_services
TFC,banks
TFC-PR,banks
BND,diversified_financials
TJX,retailing
ADI,semiconductors_and_semiconductor_equipment
LRCX,semiconductors_and_semiconductor_equipment
GILD,pharmaceuticals_biotechnology_and_life_sciences
DUK,utilities
MMC,insurance
BDX,health_care_equipment_and_services
BDXB,health_care_equipment_and_services
CI,health_care_equipment_and_services
CSX,transportation
HCA,health_care_equipment_and_services
SHW,chemicals
SO,utilities
ICE,diversified_financials
GM,automobiles_and_components
F,automobiles_and_components
ITW,capital_goods
UBER,transportation
REGN,pharmaceuticals_biotechnology_and_life_sciences
FIS,software_and_services
EW,health_care_equipment_and_services
EOG,oil_gas_and_consumable_fuels
MRNA,pharmaceuticals_biotechnology_and_life_sciences
FISV,software_and_services
COF,diversified_financials
COF-PI,diversified_financials
COF-PJ,diversified_financials
COF-PK,diversified_financials
COF-PL,diversified_financials
COF-PN,diversified_financials
NSC,transportation
SNAP,media_and_entertainment
D,utilities
