ticker,subindustry,market_cap
AADI,pharmaceuticals_biotechnology_and_life_sciences,339.5
AATC,technology_hardware_and_equipment,36.4
ABEO,pharmaceuticals_biotechnology_and_life_sciences,38.5
ABGI,diversified_financials,189.8
ABIO,pharmaceuticals_biotechnology_and_life_sciences,34.9
ABVC,pharmaceuticals_biotechnology_and_life_sciences,79.9
ACBA,diversified_financials,62.0
ACER,pharmaceuticals_biotechnology_and_life_sciences,33.4
ACEV,diversified_financials,289.8
ACHV,pharmaceuticals_biotechnology_and_life_sciences,72.8
ACNB,banks,301.1
ACQR,diversified_financials,609.2
ACST,pharmaceuticals_biotechnology_and_life_sciences,51.9
ACTD,diversified_financials,390.1
ACXP,pharmaceuticals_biotechnology_and_life_sciences,40.1
ADIL,pharmaceuticals_biotechnology_and_life_sciences,42.5
ADMP,pharmaceuticals_biotechnology_and_life_sciences,70.1
ADN,capital_goods,121.0
ADOC,diversified_financials,56.0
ADSE,capital_goods,364.1
ADTH,media_and_entertainment,819.7
ADTX,pharmaceuticals_biotechnology_and_life_sciences,17.0
ADXN,pharmaceuticals_biotechnology_and_life_sciences,32.3
AEAC,diversified_financials,295.2
AEHL,capital_goods,7.54
AEHR,semiconductors_and_semiconductor_equipment,244.2
AEI,real_estate,63.8
AEMD,health_care_equipment_and_services,19.9
AERC,capital_goods,45.5
AESE,consumer_services,67.3
AEY,technology_hardware_and_equipment,15.6
AEYE,software_and_services,60.6
AEZS,pharmaceuticals_biotechnology_and_life_sciences,39.9
AFBI,banks,101.6
AGBA,diversified_financials,56.5
AGEN,pharmaceuticals_biotechnology_and_life_sciences,591.5
AGFY,capital_goods,103.0
AGGR,diversified_financials,380.1
AGIL,software_and_services,236.9
AGMH,diversified_financials,50.9
AGRI,consumer_staples,36.7
AGRX,pharmaceuticals_biotechnology_and_life_sciences,22.2
AHCO,health_care_equipment_and_services,2094.3
AHI,software_and_services,30.1
AHPA,diversified_financials,289.5
AHPI,health_care_equipment_and_services,11.2
AIHS,diversified_financials,7.72
AIKI,pharmaceuticals_biotechnology_and_life_sciences,30.7
AIRG,technology_hardware_and_equipment,88.5
AKAN,pharmaceuticals_biotechnology_and_life_sciences,314.7
AKIC,diversified_financials,290.3
AKTS,technology_hardware_and_equipment,295.2
AKTX,pharmaceuticals_biotechnology_and_life_sciences,71.7
AKU,health_care_equipment_and_services,102.2
ALAC,diversified_financials,53.8
ALBO,pharmaceuticals_biotechnology_and_life_sciences,688.7
ALDX,pharmaceuticals_biotechnology_and_life_sciences,231.8
ALF,software_and_services,23.9
ALNA,pharmaceuticals_biotechnology_and_life_sciences,20.0
ALPP,technology_hardware_and_equipment,187.0
ALR,health_care_equipment_and_services,76.5
ALRN,pharmaceuticals_biotechnology_and_life_sciences,50.4
ALRS,diversified_financials,463.3
ALTO,energy,484.4
ALYA,software_and_services,227.3
ALZN,pharmaceuticals_biotechnology_and_life_sciences,90.0
AMEH,health_care_equipment_and_services,1922.8
AMPG,technology_hardware_and_equipment,26.9
AMPL,software_and_services,2289.5
AMST,consumer_services,16.0
