ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ZBH,2020-03-23,0.51,-2.752,0.799,51.797,4.81,0.132,-1.213,0.187,-0.57,0.151,-0.994,2015-04-07,health_care_equipment_and_services
ABMD,AMN,2020-03-23,0.784,2.384,0.039,43.459,4.81,0.292,-0.136,0.35,-0.634,0.391,-0.993,2015-04-07,health_care_equipment_and_services
ABMD,AVNS,2020-03-23,0.706,-2.481,0.081,24.419,4.81,0.201,-1.404,0.062,-2.149,-0.055,-2.778,2015-04-07,health_care_equipment_and_services
ABMD,QDEL,2020-03-23,0.647,3.176,0.082,34.316,4.81,-0.328,5.576,-0.879,9.596,-1.124,11.391,2015-04-07,health_care_equipment_and_services
ABMD,ZBH,2020-03-23,0.627,-3.692,-0.039,126.338,4.81,0.4,-1.267,0.585,-0.141,0.651,0.26,2015-04-07,health_care_equipment_and_services
ABT,ANTM,2020-03-23,0.941,-3.252,2.57,72.576,4.81,0.012,-3.031,0.098,-1.461,0.061,-2.145,2015-04-07,health_care_equipment_and_services
ABT,CNMD,2020-03-23,0.627,-3.459,1.293,-12.393,4.81,-0.138,-5.527,-0.021,-3.772,-0.053,-4.25,2015-04-07,health_care_equipment_and_services
ABT,SLP,2020-03-23,0.588,2.781,0.521,-11.982,4.81,0.065,1.606,0.061,1.674,-0.21,6.597,2015-04-07,health_care_equipment_and_services
ABT,ZBH,2020-03-23,0.667,-3.753,0.536,82.171,4.81,0.094,-2.722,0.229,-1.234,0.252,-0.983,2015-04-07,health_care_equipment_and_services
ADUS,BSX,2020-03-23,0.725,-4.193,0.29,16.825,4.81,0.113,-1.853,0.004,-4.119,0.017,-3.847,2015-04-07,health_care_equipment_and_services
ADUS,CNMD,2020-03-23,0.706,-4.972,0.9,16.709,4.81,0.111,-3.387,0.055,-4.181,-0.005,-5.041,2015-04-07,health_care_equipment_and_services
ADUS,HCA,2020-03-23,0.922,-3.36,1.055,46.84,4.81,0.058,-2.537,-0.021,-3.664,-0.104,-4.836,2015-04-07,health_care_equipment_and_services
ADUS,MDT,2020-03-23,0.706,-3.676,0.524,53.658,4.81,0.138,-0.561,0.059,-2.339,0.029,-3.022,2015-04-07,health_care_equipment_and_services
ADUS,USPH,2020-03-23,0.706,-4.179,1.115,28.239,4.81,-0.062,-4.951,-0.115,-5.606,-0.129,-5.78,2015-04-07,health_care_equipment_and_services
ADUS,ZBH,2020-03-23,0.706,-4.232,0.398,92.746,4.81,0.206,-2.007,0.271,-1.305,0.288,-1.13,2015-04-07,health_care_equipment_and_services
ALGN,AMN,2020-03-23,0.784,2.734,0.062,37.801,4.81,0.304,-0.11,0.381,-0.832,0.411,-1.117,2015-04-07,health_care_equipment_and_services
ALGN,IART,2020-03-23,0.588,-2.396,0.053,41.597,4.81,0.184,-0.808,0.181,-0.834,0.11,-1.444,2015-04-07,health_care_equipment_and_services
ALGN,LH,2020-03-23,0.961,-3.759,0.14,127.715,4.81,0.344,-0.019,0.439,1.015,0.352,0.077,2015-04-07,health_care_equipment_and_services
ALGN,QDEL,2020-03-23,0.882,4.19,0.149,18.13,4.81,-0.253,6.521,-0.714,10.756,-0.948,12.91,2015-04-07,health_care_equipment_and_services
ALGN,ZBH,2020-03-23,0.667,-3.044,0.015,112.784,4.81,0.336,-0.886,0.481,0.046,0.507,0.217,2015-04-07,health_care_equipment_and_services
AMED,BSX,2020-03-23,0.608,-6.398,0.137,20.322,4.81,0.129,-4.089,0.117,-4.31,0.125,-4.169,2015-04-07,health_care_equipment_and_services
AMED,HCA,2020-03-23,0.804,-6.325,0.517,57.708,4.81,0.078,-5.102,0.102,-4.737,0.025,-5.932,2015-04-07,health_care_equipment_and_services
AMED,MDT,2020-03-23,0.745,-5.68,0.246,60.183,4.81,0.15,-2.745,0.146,-2.83,0.115,-3.433,2015-04-07,health_care_equipment_and_services
AMED,MLAB,2020-03-23,0.902,-3.785,0.982,90.608,4.81,0.023,-3.311,0.086,-2.03,0.008,-3.612,2015-04-07,health_care_equipment_and_services
AMED,MOH,2020-03-23,0.569,-2.871,0.666,39.42,4.81,0.179,-0.274,0.265,0.966,0.239,0.588,2015-04-07,health_care_equipment_and_services
AMED,OPCH,2020-03-23,0.961,-2.72,0.036,7.849,4.81,0.22,-1.239,0.351,-0.36,0.308,-0.653,2015-04-07,health_care_equipment_and_services
AMED,PINC,2020-03-23,0.549,-2.845,0.034,31.124,4.81,0.113,-1.812,0.166,-1.324,0.158,-1.397,2015-04-07,health_care_equipment_and_services
AMED,UHS,2020-03-23,0.51,-7.262,0.231,99.65,4.81,0.186,-5.049,0.255,-4.229,0.157,-5.39,2015-04-07,health_care_equipment_and_services
AMED,ZBH,2020-03-23,0.725,-5.214,0.183,98.023,4.81,0.213,-2.885,0.327,-1.637,0.34,-1.492,2015-04-07,health_care_equipment_and_services
AMEH,AMN,2020-03-23,0.922,2.834,1.091,35.423,4.81,0.286,-0.195,0.378,-1.167,0.379,-1.178,2015-04-07,health_care_equipment_and_services
AMEH,AVNS,2020-03-23,0.804,-2.341,0.578,35.352,4.81,0.282,-1.497,0.124,-1.969,0.178,-1.807,2015-04-07,health_care_equipment_and_services
AMEH,IART,2020-03-23,0.843,-2.68,0.542,45.75,4.81,0.221,-1.0,0.224,-0.974,0.191,-1.231,2015-04-07,health_care_equipment_and_services
AMEH,QDEL,2020-03-23,0.784,3.542,1.943,23.31,4.81,-0.277,6.0,-0.727,9.999,-1.005,12.471,2015-04-07,health_care_equipment_and_services
AMEH,ZBH,2020-03-23,0.608,-3.031,0.419,109.787,4.81,0.322,-0.874,0.451,-0.01,0.485,0.216,2015-04-07,health_care_equipment_and_services
AMN,AVNS,2020-03-23,0.529,-2.519,-0.025,46.096,4.81,0.455,-1.606,0.347,-1.822,0.402,-1.712,2015-04-07,health_care_equipment_and_services
AMN,BDX,2020-03-23,0.804,-3.389,1.906,115.49,4.81,0.315,2.747,0.252,1.51,0.248,1.436,2015-04-07,health_care_equipment_and_services
AMN,GMED,2020-03-23,0.804,-3.252,0.718,6.727,4.81,0.243,0.596,0.377,2.724,0.3,1.507,2015-04-07,health_care_equipment_and_services
AMN,HQY,2020-03-23,0.51,-2.792,0.783,22.669,4.81,0.237,-0.966,0.355,-0.058,0.391,0.221,2015-04-07,health_care_equipment_and_services
AMN,IART,2020-03-23,0.529,-3.782,0.244,41.601,4.81,0.295,-1.039,0.352,-0.508,0.322,-0.788,2015-04-07,health_care_equipment_and_services
AMN,ISRG,2020-03-23,0.529,-3.4,2.48,23.122,4.81,0.335,1.262,0.4,2.162,0.456,2.938,2015-04-07,health_care_equipment_and_services
AMN,LH,2020-03-23,0.843,-5.291,0.721,123.845,4.81,0.418,-0.372,0.551,1.188,0.508,0.683,2015-04-07,health_care_equipment_and_services
AMN,OPCH,2020-03-23,0.98,-2.856,0.163,2.837,4.81,0.377,0.658,0.497,1.785,0.483,1.652,2015-04-07,health_care_equipment_and_services
AMN,RDNT,2020-03-23,0.627,-3.783,0.301,-3.058,4.81,0.322,0.229,0.521,2.718,0.465,2.01,2015-04-07,health_care_equipment_and_services
ANTM,BAX,2020-03-23,0.588,2.154,0.191,23.838,4.81,-0.017,2.433,0.05,1.341,0.049,1.349,2015-04-07,health_care_equipment_and_services
ANTM,CYRX,2020-03-23,0.725,2.683,0.093,-10.218,4.81,0.153,1.254,0.076,1.975,-0.2,4.548,2015-04-07,health_care_equipment_and_services
ANTM,RMD,2020-03-23,0.588,2.817,0.503,-15.6,4.81,0.022,2.56,0.059,2.124,-0.06,3.523,2015-04-07,health_care_equipment_and_services
ANTM,SLP,2020-03-23,0.608,2.913,0.137,-11.019,4.81,-0.018,3.083,0.067,2.304,-0.279,5.465,2015-04-07,health_care_equipment_and_services
ANTM,ZBH,2020-03-23,0.667,-2.699,0.139,83.471,4.81,0.153,-1.309,0.252,-0.402,0.294,-0.023,2015-04-07,health_care_equipment_and_services
ATEC,NTUS,2020-03-23,0.51,-2.825,-0.633,34.994,4.81,0.144,-2.127,0.057,-2.549,0.061,-2.531,2015-04-07,health_care_equipment_and_services
ATEC,ZBH,2020-03-23,0.706,-3.838,5.947,95.264,4.81,0.205,-1.57,0.293,-0.592,0.275,-0.789,2015-04-07,health_care_equipment_and_services
ATRC,NXGN,2020-03-23,0.745,-3.439,0.215,10.58,4.81,-0.081,-3.933,-0.25,-4.958,-0.099,-4.042,2015-04-07,health_care_equipment_and_services
ATRC,PINC,2020-03-23,0.824,-2.457,0.381,24.45,4.81,-0.017,-2.659,-0.072,-3.302,-0.041,-2.942,2015-04-07,health_care_equipment_and_services
ATRC,ZBH,2020-03-23,0.588,-3.536,0.988,90.237,4.81,0.137,-2.25,0.162,-2.016,0.216,-1.51,2015-04-07,health_care_equipment_and_services
ATRI,ZBH,2020-03-23,0.863,-3.184,0.034,93.733,4.81,0.279,-0.874,0.401,0.138,0.421,0.307,2015-04-07,health_care_equipment_and_services
AVNS,IART,2020-03-23,0.627,-2.08,0.248,43.466,4.81,0.205,-0.582,0.272,-0.097,0.222,-0.459,2015-04-07,health_care_equipment_and_services
AVNS,LH,2020-03-23,0.627,-3.357,0.429,142.971,4.81,0.406,-0.114,0.574,1.231,0.506,0.689,2015-04-07,health_care_equipment_and_services
AVNS,SEM,2020-03-23,0.706,-2.036,-0.005,17.4,4.81,0.215,-1.106,0.322,-0.64,0.206,-1.145,2015-04-07,health_care_equipment_and_services
AVNS,ZBH,2020-03-23,0.647,-4.411,-0.482,138.136,4.81,0.473,-1.649,0.64,-0.672,0.685,-0.412,2015-04-07,health_care_equipment_and_services
BAX,BDX,2020-03-23,0.647,-2.447,2.198,64.554,4.81,0.066,-0.399,0.014,-2.005,0.021,-1.803,2015-04-07,health_care_equipment_and_services
BAX,RDNT,2020-03-23,0.843,-2.156,0.311,-8.619,4.81,-0.075,-3.28,0.127,-0.251,0.087,-0.846,2015-04-07,health_care_equipment_and_services
BAX,SLP,2020-03-23,0.51,2.279,0.74,-29.718,4.81,0.009,2.05,0.002,2.215,-0.222,8.074,2015-04-07,health_care_equipment_and_services
BAX,SYK,2020-03-23,0.941,-5.595,2.525,-7.326,4.81,0.029,-4.544,0.072,-2.972,0.091,-2.261,2015-04-07,health_care_equipment_and_services
BAX,TFX,2020-03-23,0.902,-3.064,4.916,-66.337,4.81,0.032,-2.023,0.097,0.072,0.146,1.659,2015-04-07,health_care_equipment_and_services
BAX,ZBH,2020-03-23,0.686,-4.332,0.848,57.875,4.81,0.088,-3.027,0.201,-1.343,0.234,-0.86,2015-04-07,health_care_equipment_and_services
BDX,CYRX,2020-03-23,0.863,2.404,0.165,-23.92,4.81,0.152,-0.098,-0.025,2.814,-0.191,5.543,2015-04-07,health_care_equipment_and_services
BDX,PODD,2020-03-23,0.51,3.267,1.406,-206.484,4.81,0.079,1.973,0.003,3.217,-0.026,3.698,2015-04-07,health_care_equipment_and_services
BDX,QDEL,2020-03-23,0.725,6.303,0.556,-65.762,4.81,-0.002,6.349,-0.37,15.812,-0.528,19.867,2015-04-07,health_care_equipment_and_services
BDX,RMD,2020-03-23,0.843,2.762,0.918,-95.141,4.81,0.064,1.433,-0.019,3.153,-0.089,4.615,2015-04-07,health_care_equipment_and_services
BDX,SLP,2020-03-23,0.569,2.817,0.251,-32.975,4.81,0.04,2.208,-0.016,3.069,-0.239,6.506,2015-04-07,health_care_equipment_and_services
BDX,ZBH,2020-03-23,0.706,-3.11,0.288,54.16,4.81,0.071,-2.198,0.221,-0.261,0.246,0.062,2015-04-07,health_care_equipment_and_services
BKD,CYH,2020-03-23,0.902,2.264,0.678,-1.386,4.81,0.02,2.191,0.059,2.05,0.006,2.243,2015-04-07,health_care_equipment_and_services
BKD,PDCO,2020-03-23,0.51,2.178,2.371,2.114,4.81,0.156,1.26,0.067,1.784,-0.114,2.847,2015-04-07,health_care_equipment_and_services
BSX,EW,2020-03-23,0.706,2.832,2.083,-18.125,4.81,0.003,2.77,-0.016,3.129,0.035,2.201,2015-04-07,health_care_equipment_and_services
BSX,LHCG,2020-03-23,0.608,6.762,4.071,-46.104,4.81,0.163,2.735,-0.029,7.47,-0.028,7.446,2015-04-07,health_care_equipment_and_services
BSX,MLAB,2020-03-23,0.941,3.053,6.419,-29.451,4.81,0.084,1.355,0.011,2.836,0.093,1.168,2015-04-07,health_care_equipment_and_services
BSX,OMCL,2020-03-23,0.902,2.362,2.244,-14.359,4.81,0.091,0.68,0.12,0.13,0.083,0.829,2015-04-07,health_care_equipment_and_services
BSX,STE,2020-03-23,0.549,3.13,3.939,-25.031,4.81,-0.021,3.589,-0.059,4.46,-0.024,3.665,2015-04-07,health_care_equipment_and_services
BSX,VEEV,2020-03-23,0.51,5.025,5.685,-93.813,4.81,0.011,4.837,-0.052,5.95,-0.177,8.161,2015-04-07,health_care_equipment_and_services
BSX,ZBH,2020-03-23,0.784,-3.012,1.284,72.684,4.81,0.137,-1.42,0.255,-0.036,0.264,0.067,2015-04-07,health_care_equipment_and_services
CAH,NTUS,2020-03-23,1.0,-2.061,0.274,19.047,4.81,-0.006,-2.113,-0.108,-2.983,-0.124,-3.123,2015-04-07,health_care_equipment_and_services
CERN,ZBH,2020-03-23,0.608,-2.742,1.306,34.378,4.81,0.046,-2.051,0.161,-0.316,0.141,-0.618,2015-04-07,health_care_equipment_and_services
CHE,CNMD,2020-03-23,0.863,-6.806,0.226,1.346,4.81,0.095,-4.974,0.044,-5.948,0.054,-5.759,2015-04-07,health_care_equipment_and_services
CHE,IDXX,2020-03-23,0.549,-3.252,0.497,61.496,4.81,0.152,0.027,0.138,-0.273,0.26,2.348,2015-04-07,health_care_equipment_and_services
CHE,RDNT,2020-03-23,1.0,-3.441,0.04,0.762,4.81,0.042,-2.895,0.156,-1.398,0.11,-2.004,2015-04-07,health_care_equipment_and_services
CHE,ZBH,2020-03-23,0.686,-4.792,0.102,85.132,4.81,0.187,-2.485,0.241,-1.816,0.283,-1.299,2015-04-07,health_care_equipment_and_services
CI,ZBH,2020-03-23,0.627,-2.787,0.103,98.278,4.81,0.245,-0.975,0.374,-0.026,0.399,0.163,2015-04-07,health_care_equipment_and_services
CNC,QDEL,2020-03-23,0.51,4.482,1.228,-11.915,4.81,-0.051,5.232,-0.47,11.334,-0.693,14.603,2015-04-07,health_care_equipment_and_services
CNC,ZBH,2020-03-23,0.608,-3.087,0.142,108.865,4.81,0.289,-1.119,0.44,-0.096,0.474,0.135,2015-04-07,health_care_equipment_and_services
