ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,QDEL,2020-04-06,0.627,3.308,0.07,38.383,5.17,0.678277,0.0,-0.407,6.335,-0.472,6.819,-1.13,11.719,2015-04-21,health_care_equipment_and_services
ABT,ANTM,2020-04-06,0.941,-3.015,2.484,76.45,5.17,0.086023815,-0.7857312,0.054,-1.799,0.101,-0.736,0.035,-2.233,2015-04-21,health_care_equipment_and_services
ABT,CNMD,2020-04-06,0.608,-4.059,1.274,-11.609,5.17,0.60365087,-2.4048796,-0.02,-4.427,0.099,-2.258,0.011,-3.855,2015-04-21,health_care_equipment_and_services
ABT,RDNT,2020-04-06,0.608,-3.073,0.21,-0.572,5.17,0.36994088,-0.85967886,0.093,-1.976,0.263,0.035,0.135,-1.481,2015-04-21,health_care_equipment_and_services
ABT,ZBH,2020-04-06,0.686,-2.907,0.526,81.888,5.17,0.39118248,-0.4147311,0.093,-1.699,0.249,0.319,0.098,-1.642,2015-04-21,health_care_equipment_and_services
ADUS,BSX,2020-04-06,0.725,-3.07,0.287,16.952,5.17,0.93223685,-0.54802877,0.032,-2.252,0.015,-2.697,-0.03,-3.819,2015-04-21,health_care_equipment_and_services
ADUS,CNMD,2020-04-06,0.706,-4.397,0.889,17.054,5.17,0.7391007,-1.1617883,0.031,-3.862,0.071,-3.165,0.029,-3.889,2015-04-21,health_care_equipment_and_services
ADUS,HCA,2020-04-06,0.902,-3.466,1.05,46.65,5.17,0.34580484,-1.4632711,0.008,-3.334,0.017,-3.19,-0.056,-4.386,2015-04-21,health_care_equipment_and_services
ADUS,USPH,2020-04-06,0.706,-4.847,1.091,28.394,5.17,0.48225144,-3.3071265,0.001,-4.828,0.026,-4.494,0.011,-4.704,2015-04-21,health_care_equipment_and_services
ADUS,ZBH,2020-04-06,0.706,-2.997,0.394,92.092,5.17,0.5413833,-1.3711141,0.124,-1.436,0.246,0.095,0.11,-1.61,2015-04-21,health_care_equipment_and_services
ALGN,QDEL,2020-04-06,0.863,3.819,0.133,23.138,5.17,0.804572,3.5640159,-0.341,6.949,-0.355,7.084,-0.966,12.696,2015-04-21,health_care_equipment_and_services
AMED,BSX,2020-04-06,0.608,-3.813,0.128,21.076,5.17,0.4937783,-2.1376808,0.062,-2.692,0.125,-1.543,-0.006,-3.93,2015-04-21,health_care_equipment_and_services
