ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,AMEH,2021-08-16,0.65,2.85,0.66,-37.75,4.76,-0.109,4.24,0.03,2.46,-0.197,5.38,2016-08-29,health_care_equipment_and_services
ABC,AMN,2021-08-16,0.53,2.67,0.76,-6.78,4.76,0.002,2.64,0.038,1.88,0.017,2.31,2016-08-29,health_care_equipment_and_services
ABC,DGX,2021-08-16,0.75,2.02,1.11,4.27,4.76,0.007,1.73,0.029,0.76,0.025,0.96,2016-08-29,health_care_equipment_and_services
ABC,LH,2021-08-16,0.69,2.58,2.76,-64.44,4.76,0.035,1.18,0.048,0.66,0.039,1.03,2016-08-29,health_care_equipment_and_services
ABC,PHG,2021-08-16,0.53,-3.07,0.4,8.23,4.76,-0.001,-3.08,-0.005,-3.18,0.01,-2.82,2016-08-29,health_care_equipment_and_services
ABMD,AMEH,2021-08-16,0.86,3.43,0.06,5.56,4.76,-0.194,4.7,0.063,3.01,-0.333,5.62,2016-08-29,health_care_equipment_and_services
ABT,AMEH,2021-08-16,0.67,2.96,0.42,-15.45,4.76,-0.151,4.44,0.015,2.82,-0.254,5.45,2016-08-29,health_care_equipment_and_services
ABT,CRVL,2021-08-16,0.55,2.76,1.01,-6.97,4.76,-0.051,3.88,-0.094,4.82,-0.126,5.52,2016-08-29,health_care_equipment_and_services
ABT,DGX,2021-08-16,0.53,2.22,0.83,31.23,4.76,-0.008,2.5,0.011,1.84,0.017,1.66,2016-08-29,health_care_equipment_and_services
ABT,LHCG,2021-08-16,0.51,-2.88,2.24,-49.97,4.76,-0.039,-3.98,-0.049,-4.24,-0.089,-5.38,2016-08-29,health_care_equipment_and_services
ABT,PHG,2021-08-16,0.71,-3.39,0.32,15.79,4.76,0.016,-3.0,0.021,-2.88,0.022,-2.84,2016-08-29,health_care_equipment_and_services
ABT,RDNT,2021-08-16,0.63,2.03,0.22,-1.97,4.76,0.093,0.68,0.043,1.41,0.044,1.4,2016-08-29,health_care_equipment_and_services
ADUS,AMEH,2021-08-16,0.71,3.5,0.11,13.4,4.76,-0.246,4.89,0.038,3.28,-0.386,5.69,2016-08-29,health_care_equipment_and_services
