ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,AVNS,2020-08-19,0.549,-2.263,0.095,18.45,4.22,0.105,-1.361,0.14,-1.065,0.245,-0.166,2015-09-02,health_care_equipment_and_services
ABT,CYRX,2020-08-19,0.647,2.331,0.394,-13.09,4.22,-0.139,5.296,-0.148,5.469,-0.11,4.668,2015-09-02,health_care_equipment_and_services
ABT,STE,2020-08-19,0.706,-2.17,1.804,-7.478,4.22,0.024,-1.073,0.047,0.003,0.046,-0.032,2015-09-02,health_care_equipment_and_services
ACHC,NTUS,2020-08-19,0.824,-2.667,0.485,14.687,4.22,0.039,-2.389,-0.022,-2.826,-0.084,-3.267,2015-09-02,health_care_equipment_and_services
ALGN,MODV,2020-08-19,0.824,3.95,0.081,44.155,4.22,0.064,2.822,-0.095,5.631,-0.177,7.088,2015-09-02,health_care_equipment_and_services
ALGN,QDEL,2020-08-19,0.667,3.202,0.112,47.796,4.22,0.196,2.12,-0.05,3.478,0.23,1.934,2015-09-02,health_care_equipment_and_services
AMEH,HUM,2020-08-19,0.686,2.535,2.06,262.161,4.22,0.036,2.189,-0.029,2.821,-0.003,2.565,2015-09-02,health_care_equipment_and_services
AMEH,ISRG,2020-08-19,0.863,2.66,2.078,132.012,4.22,0.048,2.126,-0.047,3.184,-0.059,3.322,2015-09-02,health_care_equipment_and_services
AMEH,MODV,2020-08-19,0.941,4.056,0.798,51.41,4.22,0.058,3.205,-0.115,5.73,-0.294,8.345,2015-09-02,health_care_equipment_and_services
AMEH,PHG,2020-08-19,0.549,2.38,0.071,38.911,4.22,0.098,1.237,0.042,1.888,-0.021,2.626,2015-09-02,health_care_equipment_and_services
AMEH,QDEL,2020-08-19,0.725,3.271,0.27,72.157,4.22,0.211,2.239,-0.066,3.595,0.191,2.337,2015-09-02,health_care_equipment_and_services
AMEH,UNH,2020-08-19,0.784,2.347,1.979,207.601,4.22,0.02,2.115,-0.022,2.613,-0.099,3.529,2015-09-02,health_care_equipment_and_services
AMN,HUM,2020-08-19,0.529,2.657,1.299,226.387,4.22,0.051,2.121,0.011,2.546,0.02,2.452,2015-09-02,health_care_equipment_and_services
AMN,ISRG,2020-08-19,0.608,2.801,1.045,110.434,4.22,0.069,1.987,0.006,2.727,-0.027,3.125,2015-09-02,health_care_equipment_and_services
AMN,QDEL,2020-08-19,0.647,3.227,-0.91,126.579,4.22,0.232,2.319,-0.16,3.853,0.187,2.494,2015-09-02,health_care_equipment_and_services
ANTM,CYRX,2020-08-19,0.686,2.899,0.097,-9.587,4.22,-0.235,5.484,-0.21,5.21,-0.138,4.414,2015-09-02,health_care_equipment_and_services
ANTM,ISRG,2020-08-19,0.627,3.015,0.669,0.461,4.22,-0.0,3.018,-0.02,3.594,0.029,2.186,2015-09-02,health_care_equipment_and_services
ATRI,HOLX,2020-08-19,0.529,3.473,0.024,28.92,4.22,0.04,2.966,-0.002,3.499,-0.078,4.457,2015-09-02,health_care_equipment_and_services
BAX,CHE,2020-08-19,0.627,3.325,8.404,-272.541,4.22,0.026,2.287,0.008,2.989,0.009,2.954,2015-09-02,health_care_equipment_and_services
BAX,CYRX,2020-08-19,0.863,3.722,0.54,-24.819,4.22,-0.16,6.874,-0.187,7.415,-0.18,7.271,2015-09-02,health_care_equipment_and_services
BAX,SLP,2020-08-19,0.549,3.534,1.085,-52.75,4.22,-0.016,3.841,-0.062,4.749,-0.015,3.831,2015-09-02,health_care_equipment_and_services
BDX,CYRX,2020-08-19,0.843,2.825,0.207,-31.869,4.22,-0.215,6.611,-0.216,6.631,-0.195,6.263,2015-09-02,health_care_equipment_and_services
BDX,HAE,2020-08-19,0.588,-2.031,0.888,-105.841,4.22,0.074,-0.556,0.089,-0.257,0.127,0.486,2015-09-02,health_care_equipment_and_services
BDX,ISRG,2020-08-19,1.0,2.867,1.142,-89.986,4.22,-0.039,4.52,-0.079,6.243,-0.077,6.147,2015-09-02,health_care_equipment_and_services
BDX,QDEL,2020-08-19,0.745,3.029,1.227,-200.138,4.22,0.032,2.635,-0.081,4.035,0.045,2.475,2015-09-02,health_care_equipment_and_services
BDX,UNH,2020-08-19,0.824,2.016,1.208,-30.996,4.22,-0.046,3.518,-0.061,4.035,-0.097,5.198,2015-09-02,health_care_equipment_and_services
BKD,CYH,2020-08-19,0.922,2.025,0.191,2.498,4.22,0.128,1.343,0.051,1.749,-0.507,4.701,2015-09-02,health_care_equipment_and_services
BSX,HOLX,2020-08-19,0.51,3.651,0.805,16.401,4.22,0.028,3.118,-0.013,3.891,-0.085,5.278,2015-09-02,health_care_equipment_and_services
BSX,LHCG,2020-08-19,0.667,3.329,4.242,-43.681,4.22,-0.008,3.45,-0.071,4.424,-0.071,4.435,2015-09-02,health_care_equipment_and_services
CAH,NTUS,2020-08-19,0.843,-2.584,0.218,20.296,4.22,0.064,-2.247,0.049,-2.322,0.106,-2.021,2015-09-02,health_care_equipment_and_services
CHE,CYRX,2020-08-19,0.863,2.398,0.064,-7.154,4.22,-0.217,6.503,-0.23,6.73,-0.222,6.586,2015-09-02,health_care_equipment_and_services
CHE,IDXX,2020-08-19,0.569,2.426,0.574,38.014,4.22,0.016,1.939,-0.075,4.739,-0.133,6.532,2015-09-02,health_care_equipment_and_services
CNMD,CYRX,2020-08-19,0.765,3.109,0.177,1.66,4.22,-0.284,5.606,-0.297,5.717,-0.211,4.961,2015-09-02,health_care_equipment_and_services
CNMD,PODD,2020-08-19,0.706,2.029,1.816,-15.638,4.22,-0.076,2.789,-0.125,3.274,-0.06,2.627,2015-09-02,health_care_equipment_and_services
CNMD,RMD,2020-08-19,0.667,2.131,1.106,36.12,4.22,0.021,1.899,0.0,2.129,-0.05,2.68,2015-09-02,health_care_equipment_and_services
CNMD,SLP,2020-08-19,0.51,2.929,0.351,0.762,4.22,-0.055,3.392,-0.098,3.747,0.057,2.452,2015-09-02,health_care_equipment_and_services
COO,HOLX,2020-08-19,0.667,3.724,0.131,8.904,4.22,0.082,1.914,0.053,2.566,-0.013,4.019,2015-09-02,health_care_equipment_and_services
CVS,NTUS,2020-08-19,0.863,-2.865,0.355,9.044,4.22,0.073,-2.27,0.074,-2.266,0.073,-2.275,2015-09-02,health_care_equipment_and_services
CYH,NTUS,2020-08-19,0.725,-2.957,1.42,25.232,4.22,0.08,-2.574,0.044,-2.749,-0.032,-3.108,2015-09-02,health_care_equipment_and_services
EHC,QDEL,2020-08-19,0.549,3.441,1.685,-25.527,4.22,0.164,2.264,-0.029,3.652,0.209,1.942,2015-09-02,health_care_equipment_and_services
EHC,STAA,2020-08-19,0.725,2.283,0.946,-26.275,4.22,-0.051,2.999,-0.151,4.409,-0.176,4.767,2015-09-02,health_care_equipment_and_services
ENOV,NTUS,2020-08-19,0.529,-3.236,0.297,14.877,4.22,0.034,-2.977,0.059,-2.792,0.094,-2.528,2015-09-02,health_care_equipment_and_services
EW,LHCG,2020-08-19,0.51,3.159,2.071,-13.037,4.22,0.027,2.562,-0.024,3.677,0.014,2.849,2015-09-02,health_care_equipment_and_services
EW,SYK,2020-08-19,0.549,-2.036,1.422,91.875,4.22,0.046,-0.719,0.093,0.608,0.122,1.451,2015-09-02,health_care_equipment_and_services
GMED,MODV,2020-08-19,0.549,3.756,0.629,35.326,4.22,0.033,3.137,-0.1,5.63,-0.246,8.376,2015-09-02,health_care_equipment_and_services
HAE,MDT,2020-08-19,0.627,2.126,0.394,49.986,4.22,-0.056,3.271,-0.039,2.924,-0.004,2.202,2015-09-02,health_care_equipment_and_services
HCA,MOH,2020-08-19,0.765,2.065,0.966,12.394,4.22,0.026,1.752,-0.037,2.521,-0.022,2.335,2015-09-02,health_care_equipment_and_services
HCA,USPH,2020-08-19,0.745,-2.24,0.89,-4.072,4.22,0.024,-1.835,-0.019,-2.56,0.033,-1.686,2015-09-02,health_care_equipment_and_services
IART,LH,2020-08-19,0.922,2.0,1.453,85.892,4.22,-0.018,2.367,-0.076,3.542,-0.053,3.069,2015-09-02,health_care_equipment_and_services
ICUI,MODV,2020-08-19,0.627,4.254,0.068,50.019,4.22,0.065,3.341,-0.12,5.941,-0.307,8.563,2015-09-02,health_care_equipment_and_services
ISRG,ITGR,2020-08-19,0.824,-3.036,0.401,3.15,4.22,-0.047,-3.969,-0.067,-4.36,-0.033,-3.698,2015-09-02,health_care_equipment_and_services
ISRG,QDEL,2020-08-19,0.745,2.215,1.204,-124.971,4.22,0.072,1.28,0.003,2.181,0.134,0.474,2015-09-02,health_care_equipment_and_services
ITGR,MOH,2020-08-19,0.784,2.977,1.771,-2.29,4.22,-0.041,3.528,-0.069,3.897,-0.07,3.911,2015-09-02,health_care_equipment_and_services
ITGR,UNH,2020-08-19,0.529,2.921,1.476,137.7,4.22,-0.03,3.464,-0.042,3.673,-0.082,4.407,2015-09-02,health_care_equipment_and_services
LHCG,MASI,2020-08-19,0.529,-2.175,1.223,3.728,4.22,0.013,-1.78,-0.013,-2.578,0.042,-0.894,2015-09-02,health_care_equipment_and_services
LHCG,MLAB,2020-08-19,0.804,-2.311,0.981,97.618,4.22,0.008,-2.161,0.03,-1.753,0.089,-0.643,2015-09-02,health_care_equipment_and_services
LHCG,OMCL,2020-08-19,0.686,-2.4,0.269,36.968,4.22,0.076,-1.453,0.051,-1.757,0.261,0.867,2015-09-02,health_care_equipment_and_services
MCK,NTUS,2020-08-19,0.686,-2.466,-0.004,31.383,4.22,0.057,-2.29,0.042,-2.336,0.229,-1.764,2015-09-02,health_care_equipment_and_services
MD,NTUS,2020-08-19,0.902,-2.403,0.302,20.51,4.22,0.054,-2.071,0.102,-1.773,0.16,-1.409,2015-09-02,health_care_equipment_and_services
MDRX,NTUS,2020-08-19,0.765,-2.955,1.6,13.193,4.22,0.086,-2.19,-0.039,-3.297,-0.038,-3.297,2015-09-02,health_care_equipment_and_services
MLAB,MOH,2020-08-19,0.765,2.168,0.629,-5.332,4.22,0.031,1.667,0.021,1.835,0.01,2.01,2015-09-02,health_care_equipment_and_services
NUVA,ZBH,2020-08-19,0.784,2.887,1.275,41.438,4.22,-0.035,3.8,-0.033,3.754,-0.107,5.722,2015-09-02,health_care_equipment_and_services
PODD,SLP,2020-08-19,0.667,2.457,0.229,-0.488,4.22,0.008,2.312,0.011,2.246,0.102,0.542,2015-09-02,health_care_equipment_and_services
RDNT,UNH,2020-08-19,0.882,2.332,6.996,143.636,4.22,0.003,2.264,-0.027,2.873,-0.047,3.264,2015-09-02,health_care_equipment_and_services
SNN,TFX,2020-08-19,0.725,2.45,9.291,-48.943,4.22,0.034,1.44,-0.005,2.603,-0.012,2.794,2015-09-02,health_care_equipment_and_services
SYK,TFX,2020-08-19,0.686,2.473,1.861,-29.4,4.22,0.1,-0.481,0.105,-0.652,0.113,-0.869,2015-09-02,health_care_equipment_and_services
UHS,ZBH,2020-08-19,0.686,2.039,0.541,51.559,4.22,0.009,1.869,-0.029,2.606,-0.006,2.157,2015-09-02,health_care_equipment_and_services
ACIW,FIVN,2020-08-19,0.745,2.871,2.119,-7.284,4.75,-0.044,3.228,-0.099,3.673,-0.071,3.444,2015-09-02,software_and_services
ACIW,MTLS,2020-08-19,0.627,2.922,0.346,6.761,4.75,-0.201,5.149,-0.539,8.896,-0.345,6.745,2015-09-02,software_and_services
ACIW,RNG,2020-08-19,0.569,2.272,6.021,-45.951,4.75,-0.0,2.275,0.023,2.104,0.003,2.251,2015-09-02,software_and_services
ACN,GPN,2020-08-19,0.667,-3.672,1.161,-56.928,4.75,0.019,-2.966,0.026,-2.693,0.02,-2.899,2015-09-02,software_and_services
ACN,OTEX,2020-08-19,0.784,-2.567,0.166,8.846,4.75,-0.025,-3.913,-0.009,-3.063,-0.039,-4.673,2015-09-02,software_and_services
ACN,V,2020-08-19,0.529,-2.612,1.133,-38.358,4.75,-0.0,-2.627,0.009,-2.134,-0.003,-2.762,2015-09-02,software_and_services
ADBE,JKHY,2020-08-19,0.882,-2.517,0.281,60.335,4.75,-0.038,-3.951,-0.076,-5.398,-0.048,-4.336,2015-09-02,software_and_services
ADP,ADSK,2020-08-19,0.706,3.427,1.07,11.316,4.75,0.035,2.905,-0.029,3.866,0.073,2.322,2015-09-02,software_and_services
ADP,AZPN,2020-08-19,0.961,2.886,0.944,-26.033,4.75,-0.037,4.069,-0.012,3.26,0.111,-0.613,2015-09-02,software_and_services
ADP,CRM,2020-08-19,0.627,3.831,1.028,8.482,4.75,-0.118,6.439,-0.125,6.589,-0.038,4.676,2015-09-02,software_and_services
ADP,DSGX,2020-08-19,0.588,3.72,0.247,2.855,4.75,0.041,3.057,0.017,3.438,0.117,1.831,2015-09-02,software_and_services
ADP,FIVN,2020-08-19,0.745,3.464,0.699,-40.522,4.75,0.003,3.436,-0.073,4.228,0.045,2.992,2015-09-02,software_and_services
ADP,HUBS,2020-08-19,0.784,5.177,1.544,-59.154,4.75,0.014,4.918,-0.033,5.775,-0.028,5.685,2015-09-02,software_and_services
ADP,INFY,2020-08-19,0.627,4.037,0.052,2.142,4.75,-0.043,5.036,-0.099,6.351,-0.033,4.81,2015-09-02,software_and_services
ADP,INTU,2020-08-19,0.804,3.658,2.095,-54.369,4.75,0.008,3.46,-0.018,4.131,0.049,2.4,2015-09-02,software_and_services
ADP,LPSN,2020-08-19,0.804,5.833,0.412,-28.695,4.75,0.109,3.743,0.047,4.926,0.204,1.922,2015-09-02,software_and_services
ADP,MA,2020-08-19,0.608,3.821,2.349,-86.505,4.75,-0.015,4.17,0.026,3.21,0.128,0.763,2015-09-02,software_and_services
ADP,MSFT,2020-08-19,0.647,3.171,1.213,-39.236,4.75,0.016,2.955,0.01,3.03,0.108,1.688,2015-09-02,software_and_services
ADP,MTLS,2020-08-19,0.549,3.373,0.096,3.794,4.75,-0.152,5.284,-0.501,9.655,-0.249,6.492,2015-09-02,software_and_services
ADP,NICE,2020-08-19,0.686,3.973,1.232,-35.756,4.75,0.003,3.929,-0.008,4.113,0.09,2.491,2015-09-02,software_and_services
ADP,NOW,2020-08-19,0.725,3.357,2.809,-140.757,4.75,-0.029,3.75,-0.081,4.441,0.034,2.9,2015-09-02,software_and_services
ADP,OTEX,2020-08-19,0.608,2.776,0.178,12.674,4.75,0.019,2.244,0.048,1.455,0.121,-0.58,2015-09-02,software_and_services
ADP,PANW,2020-08-19,0.863,3.118,1.249,36.295,4.75,0.056,1.976,0.082,1.448,0.05,2.095,2015-09-02,software_and_services
ADP,PAYC,2020-08-19,0.51,2.667,3.074,-231.783,4.75,0.015,2.418,-0.098,4.272,0.035,2.092,2015-09-02,software_and_services
ADP,PCTY,2020-08-19,0.51,2.909,1.228,-78.75,4.75,-0.04,3.603,-0.16,5.68,-0.021,3.267,2015-09-02,software_and_services
