ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,DGX,2021-03-10,0.65,-2.27,1.2,-2.43,3.9,0.018,-1.61,0.046,-0.54,0.016,-1.67,2016-03-23,health_care_equipment_and_services
ABMD,AMEH,2021-03-10,1.0,2.51,0.02,12.96,3.9,-0.046,3.05,-0.331,6.4,-0.597,9.52,2016-03-23,health_care_equipment_and_services
ABMD,AMN,2021-03-10,0.51,2.22,-0.0,58.58,3.9,-0.0,2.22,-0.213,4.22,-0.253,4.59,2016-03-23,health_care_equipment_and_services
ABT,AMEH,2021-03-10,0.8,2.11,0.02,16.53,3.9,-0.074,2.79,-0.36,5.44,-0.672,8.32,2016-03-23,health_care_equipment_and_services
ABT,PEN,2021-03-10,0.8,2.47,1.99,5.99,3.9,0.029,1.64,0.04,1.31,-0.039,3.61,2016-03-23,health_care_equipment_and_services
ACHC,SGRY,2021-03-10,0.55,2.2,0.71,-8.69,3.9,-0.02,2.56,-0.049,3.07,-0.18,5.42,2016-03-23,health_care_equipment_and_services
ADUS,AMEH,2021-03-10,0.84,2.15,0.02,16.21,3.9,-0.073,2.84,-0.365,5.57,-0.671,8.44,2016-03-23,health_care_equipment_and_services
ADUS,ANTM,2021-03-10,0.65,2.0,1.05,182.08,3.9,-0.054,3.18,-0.171,5.75,-0.148,5.23,2016-03-23,health_care_equipment_and_services
ADUS,OPCH,2021-03-10,1.0,2.1,0.11,4.34,3.9,0.036,1.56,0.071,1.03,-0.085,3.38,2016-03-23,health_care_equipment_and_services
ADUS,PEN,2021-03-10,1.0,3.01,1.66,34.65,3.9,0.023,2.57,0.003,2.94,-0.057,4.11,2016-03-23,health_care_equipment_and_services
ADUS,PHG,2021-03-10,0.57,2.24,0.28,20.38,3.9,-0.036,3.32,-0.033,3.26,-0.05,3.75,2016-03-23,health_care_equipment_and_services
AMED,AMEH,2021-03-10,0.8,2.14,0.01,17.15,3.9,-0.073,2.8,-0.37,5.48,-0.684,8.31,2016-03-23,health_care_equipment_and_services
AMED,ATRC,2021-03-10,0.75,3.07,0.14,12.83,3.9,0.011,2.86,-0.096,5.05,-0.104,5.21,2016-03-23,health_care_equipment_and_services
AMED,PEN,2021-03-10,0.76,2.94,0.53,83.4,3.9,0.046,1.97,0.04,2.11,-0.012,3.2,2016-03-23,health_care_equipment_and_services
AMED,RDNT,2021-03-10,0.55,2.15,0.03,11.03,3.9,0.078,1.15,0.011,2.01,-0.338,6.44,2016-03-23,health_care_equipment_and_services
AMEH,RDNT,2021-03-10,0.78,2.15,0.24,10.97,3.9,0.073,1.4,0.087,1.24,-0.202,4.24,2016-03-23,health_care_equipment_and_services
AMN,PEN,2021-03-10,0.61,2.17,1.79,63.81,3.9,0.011,2.05,0.102,0.98,0.066,1.41,2016-03-23,health_care_equipment_and_services
AMN,THC,2021-03-10,0.86,2.51,0.6,-7.06,3.9,0.033,2.01,0.004,2.45,-0.006,2.6,2016-03-23,health_care_equipment_and_services
ATRI,OMCL,2021-03-10,0.67,2.87,0.04,47.17,3.9,-0.052,3.3,-0.027,3.09,-0.084,3.57,2016-03-23,health_care_equipment_and_services
ATRI,OPCH,2021-03-10,0.55,2.34,-0.01,18.58,3.9,0.054,2.06,0.222,1.19,-0.088,2.81,2016-03-23,health_care_equipment_and_services
AVNS,LH,2021-03-10,0.51,2.52,0.28,161.46,3.9,-0.094,3.54,-0.19,4.56,-0.117,3.77,2016-03-23,health_care_equipment_and_services
AVNS,SEM,2021-03-10,0.51,3.79,0.03,17.4,3.9,0.006,3.74,-0.055,4.27,-0.155,5.13,2016-03-23,health_care_equipment_and_services
BAX,CRVL,2021-03-10,0.61,2.37,1.04,-5.87,3.9,0.036,1.88,-0.011,2.52,-0.058,3.15,2016-03-23,health_care_equipment_and_services
BAX,CYRX,2021-03-10,0.63,2.07,0.75,-34.03,3.9,0.064,1.59,0.055,1.66,-0.016,2.19,2016-03-23,health_care_equipment_and_services
BAX,OPCH,2021-03-10,0.98,2.48,0.1,5.21,3.9,0.053,1.94,0.139,1.08,-0.034,2.82,2016-03-23,health_care_equipment_and_services
BAX,PEN,2021-03-10,0.57,3.16,2.29,-7.04,3.9,0.046,2.55,0.073,2.19,0.009,3.04,2016-03-23,health_care_equipment_and_services
BAX,RDNT,2021-03-10,1.0,3.0,0.19,1.1,3.9,0.078,1.84,0.048,2.29,-0.249,6.68,2016-03-23,health_care_equipment_and_services
BAX,TFX,2021-03-10,0.78,3.1,5.43,-95.29,3.9,0.036,2.13,0.069,1.24,0.061,1.45,2016-03-23,health_care_equipment_and_services
BAX,ZBH,2021-03-10,0.75,2.32,1.22,30.14,3.9,-0.002,2.35,-0.004,2.38,0.031,1.74,2016-03-23,health_care_equipment_and_services
BDX,CNMD,2021-03-10,0.55,3.02,0.71,-80.98,3.9,-0.013,3.28,-0.048,4.0,-0.02,3.42,2016-03-23,health_care_equipment_and_services
BDX,CYRX,2021-03-10,0.59,2.07,0.29,-44.68,3.9,0.038,1.77,0.017,1.94,-0.03,2.31,2016-03-23,health_care_equipment_and_services
BDX,GMED,2021-03-10,0.67,2.11,0.15,16.8,3.9,-0.026,2.54,-0.069,3.26,-0.072,3.3,2016-03-23,health_care_equipment_and_services
BDX,ITGR,2021-03-10,0.98,2.59,0.29,7.31,3.9,0.029,1.99,0.031,1.95,0.049,1.58,2016-03-23,health_care_equipment_and_services
BDX,OPCH,2021-03-10,1.0,2.73,0.08,-6.26,3.9,0.04,2.13,0.094,1.3,-0.024,3.09,2016-03-23,health_care_equipment_and_services
BDX,PEN,2021-03-10,0.76,3.14,0.99,-61.57,3.9,0.028,2.74,0.043,2.53,-0.002,3.17,2016-03-23,health_care_equipment_and_services
