ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ABT,2022-03-31,0.549,-3.549,0.872,12.991,4.16,-0.0,-3.558,0.003,-3.444,0.008,-3.309,2017-04-17,health_care_equipment_and_services
ABC,ATRC,2022-03-31,0.588,-2.904,0.803,-31.156,4.16,-0.033,-3.581,-0.118,-5.296,-0.083,-4.59,2017-04-17,health_care_equipment_and_services
ABC,CYRX,2022-03-31,0.51,-2.84,0.703,-32.196,4.16,-0.052,-3.352,-0.051,-3.346,0.031,-2.535,2017-04-17,health_care_equipment_and_services
ABC,DGX,2022-03-31,0.98,-3.091,0.92,24.122,4.16,0.005,-2.936,0.023,-2.437,0.038,-1.983,2017-04-17,health_care_equipment_and_services
ABC,DVA,2022-03-31,0.686,-2.518,1.04,-13.775,4.16,0.0,-2.515,-0.049,-3.518,-0.067,-3.905,2017-04-17,health_care_equipment_and_services
ABC,ENOV,2022-03-31,0.765,-2.604,0.567,5.16,4.16,-0.001,-2.62,0.004,-2.536,-0.04,-3.274,2017-04-17,health_care_equipment_and_services
ABC,ISRG,2022-03-31,0.529,-2.571,2.73,-36.647,4.16,-0.063,-3.98,-0.102,-4.86,-0.09,-4.597,2017-04-17,health_care_equipment_and_services
ABC,LH,2022-03-31,0.863,-3.428,2.403,-28.748,4.16,-0.011,-3.731,-0.012,-3.766,0.006,-3.255,2017-04-17,health_care_equipment_and_services
ABC,MCK,2022-03-31,0.627,2.274,2.098,-40.345,4.16,-0.02,3.53,-0.04,4.747,-0.074,6.901,2017-04-17,health_care_equipment_and_services
ABC,MOH,2022-03-31,0.608,-2.14,3.182,-119.369,4.16,-0.011,-2.645,-0.04,-3.99,-0.019,-3.008,2017-04-17,health_care_equipment_and_services
ABC,NEOG,2022-03-31,0.667,-3.901,0.169,20.393,4.16,-0.057,-4.705,-0.067,-4.852,-0.082,-5.06,2017-04-17,health_care_equipment_and_services
ABC,PEN,2022-03-31,0.608,-2.794,1.92,15.924,4.16,-0.066,-3.849,-0.14,-5.055,-0.145,-5.129,2017-04-17,health_care_equipment_and_services
ABC,RDNT,2022-03-31,0.922,-2.602,0.253,-5.171,4.16,-0.018,-2.847,-0.013,-2.78,-0.03,-3.021,2017-04-17,health_care_equipment_and_services
ABC,RMD,2022-03-31,0.529,-2.795,2.276,-41.415,4.16,-0.05,-4.033,-0.051,-4.052,-0.003,-2.859,2017-04-17,health_care_equipment_and_services
ABC,SGRY,2022-03-31,0.51,-2.009,0.828,-55.862,4.16,0.005,-1.901,-0.076,-3.662,-0.08,-3.747,2017-04-17,health_care_equipment_and_services
ABMD,HSIC,2022-03-31,0.588,2.133,0.086,45.583,4.16,0.024,1.672,-0.031,2.726,0.03,1.565,2017-04-17,health_care_equipment_and_services
ABT,ANTM,2022-03-31,0.824,3.228,3.121,2.657,4.16,-0.025,3.814,-0.019,3.68,-0.023,3.768,2017-04-17,health_care_equipment_and_services
ABT,CYRX,2022-03-31,0.51,-2.017,0.925,-54.715,4.16,-0.047,-2.723,-0.054,-2.822,0.026,-1.629,2017-04-17,health_care_equipment_and_services
ABT,HSIC,2022-03-31,0.902,2.262,0.283,39.993,4.16,0.044,1.397,0.018,1.918,0.066,0.973,2017-04-17,health_care_equipment_and_services
ABT,MCK,2022-03-31,0.569,4.549,1.874,-17.847,4.16,-0.019,4.997,-0.041,5.491,-0.072,6.216,2017-04-17,health_care_equipment_and_services
ABT,OPCH,2022-03-31,0.843,2.581,0.258,-9.224,4.16,-0.02,2.992,-0.029,3.173,-0.033,3.257,2017-04-17,health_care_equipment_and_services
ABT,PHG,2022-03-31,0.706,-2.369,0.039,39.875,4.16,-0.114,-2.976,-0.138,-3.103,-0.23,-3.59,2017-04-17,health_care_equipment_and_services
ABT,STE,2022-03-31,0.922,3.118,1.702,3.903,4.16,0.021,2.348,0.035,1.803,0.039,1.65,2017-04-17,health_care_equipment_and_services
